     collisions(billions)   time(microsecond)   temperature(K)   Etotal(kJ/mol)   KE(kJ/mol)   PE(kJ/mol)
===============================================================================================================
         0.0000                  0.0000             389.7           7691.7298     8016.0192     -324.2894
         0.0892                  0.0043             316.0           5927.3002     6846.6384     -919.3382
         0.1785                  0.0085             327.9           5937.7262     7035.9408    -1098.2146
         0.2677                  0.0128             329.0           6243.5568     7053.1776     -809.6208
         0.3571                  0.0171             313.8           5861.8296     6812.4672     -950.6376
         0.4464                  0.0214             323.1           5622.2279     6959.1312    -1336.9033
         0.5358                  0.0256             322.6           5776.5169     6950.9664    -1174.4495
         0.6254                  0.0299             308.4           5431.7469     6725.6784    -1293.9315
         0.7147                  0.0342             331.8           6027.4738     7097.9328    -1070.4590
         0.8041                  0.0385             326.1           6076.0450     7006.3056     -930.2606
         0.8935                  0.0427             335.0           6233.3928     7147.8288     -914.4360
         0.9828                  0.0470             322.5           5937.3185     6950.0592    -1012.7407
         1.0000                  0.0478             328.6           6079.3670     7045.9200     -966.5530
         1.0891                  0.0549             328.0           5864.7540     7037.1504    -1172.3964
         1.1786                  0.0594             337.8           6018.3171     7192.5840    -1174.2669
         1.2680                  0.0639             323.6           5716.8806     6966.9936    -1250.1130
         1.3573                  0.0684             328.6           6010.7213     7047.4320    -1036.7107
         1.4466                  0.0729             327.2           5915.2150     7023.8448    -1108.6298
         1.5357                  0.0774             326.3           6012.9569     7010.8416     -997.8847
         1.6250                  0.0819             320.1           5526.7756     6912.5616    -1385.7860
         1.7144                  0.0864             331.4           6088.6077     7091.5824    -1002.9747
         1.8038                  0.0909             326.9           6011.3501     7019.9136    -1008.5635
         1.8932                  0.0954             345.5           6203.1049     7314.7536    -1111.6487
         1.9825                  0.1000             311.4           5535.1719     6774.3648    -1239.1929
         2.0000                  0.1008             337.7           5754.5343     7191.0720    -1436.5377
         2.0894                  0.1117             327.9           6020.5428     7036.2432    -1015.7004
         2.1787                  0.1165             321.5           5869.2537     6933.7296    -1064.4759
         2.2680                  0.1213             319.3           5828.4368     6899.5584    -1071.1216
         2.3572                  0.1261             322.9           5897.0357     6956.1072    -1059.0715
