     collisions(billions)   time(microsecond)   temperature(K)   Etotal(kJ/mol)   KE(kJ/mol)   PE(kJ/mol)
===============================================================================================================
         0.0000                  0.0000             395.7           7795.9963     8110.9728     -314.9765
         0.0892                  0.0043             323.0           6205.9981     6957.9216     -751.9235
         0.1784                  0.0085             324.3           5977.1767     6978.7872    -1001.6105
         0.2677                  0.0128             334.9           6256.5333     7146.0144     -889.4811
         0.3568                  0.0171             319.5           6053.5289     6901.6752     -848.1463
         0.4462                  0.0214             316.4           5757.6044     6852.9888    -1095.3844
         0.5355                  0.0256             316.1           5977.8998     6848.4528     -870.5530
         0.6248                  0.0299             330.3           6149.6182     7074.0432     -924.4250
         0.7142                  0.0342             330.1           5922.3866     7069.8096    -1147.4230
         0.8035                  0.0385             316.0           5717.9328     6847.5456    -1129.6128
         0.8929                  0.0427             320.5           5719.6819     6918.9120    -1199.2301
         0.9823                  0.0470             325.9           5797.6024     7004.4912    -1206.8888
         1.0000                  0.0478             322.7           6101.5357     6952.7808     -851.2451
         1.0894                  0.0549             317.5           6008.4875     6870.2256     -861.7381
         1.1789                  0.0594             323.3           6046.4854     6962.1552     -915.6698
         1.2681                  0.0639             331.6           5996.8093     7094.3040    -1097.4947
         1.3576                  0.0684             309.7           5922.2924     6746.5440     -824.2516
         1.4469                  0.0730             318.2           5770.5853     6881.7168    -1111.1315
         1.5360                  0.0775             322.9           5799.5311     6957.0144    -1157.4833
         1.6252                  0.0820             315.2           5782.1980     6833.9376    -1051.7396
         1.7145                  0.0865             333.9           6041.4675     7129.9872    -1088.5197
         1.8040                  0.0910             328.0           5973.4650     7036.8480    -1063.3830
         1.8933                  0.0955             317.2           5812.9545     6865.6896    -1052.7351
         1.9827                  0.1000             326.4           6119.0677     7011.4464     -892.3787
         2.0000                  0.1008             333.3           6030.8287     7120.6128    -1089.7841
         2.0893                  0.1117             326.8           5900.2185     7018.0992    -1117.8807
         2.1786                  0.1165             329.5           5850.9535     7060.7376    -1209.7841
         2.2679                  0.1213             316.8           5705.5838     6860.2464    -1154.6626
         2.3571                  0.1261             321.1           5667.3283     6927.0768    -1259.7485
         2.4464                  0.1308             318.6           5613.3041     6887.7648    -1274.4607
         2.5359                  0.1356             318.3           5685.7040     6883.2288    -1197.5248
         2.6254                  0.1404             317.6           5644.5769     6871.7376    -1227.1607
         2.7145                  0.1452             323.7           5644.2461     6968.8080    -1324.5619
         2.8040                  0.1500             337.2           5975.1430     7182.3024    -1207.1594
         2.8937                  0.1547             335.8           6089.8134     7161.4368    -1071.6234
         2.9829                  0.1595             325.8           5450.5436     7001.7696    -1551.2260
         3.0000                  0.1604             330.9           5446.4279     7082.5104    -1636.0825
         3.0893                  0.1766             315.9           5068.6826     6844.5216    -1775.8390
         3.1787                  0.1817             326.8           5724.7669     7018.4016    -1293.6347
         3.2680                  0.1868             327.8           5623.1779     7033.5216    -1410.3437
         3.3574                  0.1919             316.3           5172.4109     6851.1744    -1678.7635
         3.4467                  0.1970             337.0           5594.3428     7179.5808    -1585.2380
         3.5362                  0.2021             328.2           5782.0917     7040.4768    -1258.3851
         3.6254                  0.2072             335.6           6076.2371     7157.8080    -1081.5709
         3.7147                  0.2123             323.9           5816.1982     6971.8320    -1155.6338
         3.8040                  0.2175             314.6           5932.7551     6823.9584     -891.2033
         3.8935                  0.2226             322.4           5849.5144     6947.6400    -1098.1256
         3.9827                  0.2277             325.3           6118.3802     6994.8144     -876.4342
         4.0000                  0.2287             326.8           6217.4901     7017.4944     -800.0043
         4.0891                  0.2525             312.7           5616.0553     6794.0208    -1177.9655
         4.1783                  0.2580             320.1           5864.9088     6911.6544    -1046.7456
         4.2678                  0.2635             328.4           5915.6110     7043.8032    -1128.1922
         4.3571                  0.2690             345.7           6296.1030     7317.7776    -1021.6746
         4.4464                  0.2746             331.3           6133.3293     7090.0704     -956.7411
         4.5358                  0.2801             333.5           6192.9976     7124.8464     -931.8488
         4.6253                  0.2856             330.2           5991.4572     7071.9264    -1080.4692
         4.7146                  0.2911             323.1           5823.6201     6958.8288    -1135.2087
         4.8038                  0.2966             325.9           5681.9081     7003.2816    -1321.3735
         4.8931                  0.3021             322.9           5865.2151     6956.4096    -1091.1945
         4.9824                  0.3076             314.9           6024.2576     6830.0064     -805.7488
         5.0000                  0.3087             332.3           6160.9604     7105.1904     -944.2300
         5.0895                  0.3253             306.2           5332.1967     6692.1120    -1359.9153
         5.1790                  0.3310             316.1           5645.9215     6848.7552    -1202.8337
         5.2683                  0.3367             336.4           5783.6102     7170.8112    -1387.2010
         5.3574                  0.3424             310.6           5558.4358     6761.6640    -1203.2282
         5.4468                  0.3481             327.9           5686.2813     7036.2432    -1349.9619
         5.5361                  0.3538             316.8           5780.2221     6859.9440    -1079.7219
         5.6252                  0.3595             326.0           5626.5328     7005.7008    -1379.1680
         5.7146                  0.3652             321.8           5581.1449     6939.1728    -1358.0279
         5.8042                  0.3709             311.4           5590.8624     6773.4576    -1182.5952
         5.8935                  0.3767             322.1           5738.3138     6943.7088    -1205.3950
         5.9828                  0.3824             337.3           6183.4650     7183.8144    -1000.3494
         6.0000                  0.3835             309.2           5811.3212     6738.3792     -927.0580
         6.0893                  0.4039             341.8           6342.1694     7255.7856     -913.6162
         6.1786                  0.4098             335.7           6123.3256     7159.0176    -1035.6920
         6.2678                  0.4157             319.9           6150.5671     6908.0256     -757.4585
         6.3572                  0.4216             332.6           5711.1625     7110.6336    -1399.4711
         6.4465                  0.4276             329.1           5967.2182     7054.6896    -1087.4714
         6.5358                  0.4335             329.0           6035.8699     7053.4800    -1017.6101
         6.6251                  0.4394             319.2           5772.5153     6896.8368    -1124.3215
         6.7145                  0.4453             329.5           5920.8942     7061.3424    -1140.4482
         6.8038                  0.4513             324.7           5956.7753     6984.5328    -1027.7575
         6.8932                  0.4572             335.9           6002.4680     7161.7392    -1159.2712
         6.9826                  0.4631             328.7           5985.5305     7047.7344    -1062.2039
         7.0000                  0.4643             326.2           5999.5132     7008.4224    -1008.9092
         7.0895                  0.4894             320.2           6049.8946     6913.1664     -863.2718
         7.1788                  0.4956             332.1           5750.8190     7102.7712    -1351.9522
         7.2682                  0.5017             318.4           6219.2559     6884.1360     -664.8801
         7.3574                  0.5079             315.8           5956.7809     6844.2192     -887.4383
         7.4465                  0.5141             326.6           5931.6581     7014.7728    -1083.1147
         7.5359                  0.5202             313.2           5738.2463     6801.8832    -1063.6369
         7.6251                  0.5264             320.0           5745.0284     6911.0496    -1166.0212
         7.7144                  0.5326             324.5           5899.0021     6982.1136    -1083.1115
         7.8037                  0.5387             335.3           6093.1048     7153.5744    -1060.4696
         7.8929                  0.5449             330.1           6218.2261     7070.4144     -852.1883
