     collisions(billions)   time(microsecond)   temperature(K)   Etotal(kJ/mol)   KE(kJ/mol)   PE(kJ/mol)
===============================================================================================================
         0.0000                  0.0000             398.0           8036.6718     8146.3536     -109.6818
         0.0889                  0.0043             316.3           5880.9171     6852.3840     -971.4669
         0.1778                  0.0085             337.8           6301.2666     7192.8864     -891.6198
         0.2666                  0.0128             333.3           6168.8268     7121.5200     -952.6932
         0.3558                  0.0171             315.0           5931.9924     6830.3088     -898.3164
         0.4447                  0.0214             335.2           6352.4029     7150.8528     -798.4499
         0.5337                  0.0256             317.1           5917.6062     6864.7824     -947.1762
         0.6229                  0.0299             313.8           5660.2184     6812.1648    -1151.9464
         0.7119                  0.0342             318.1           5836.7866     6879.6000    -1042.8134
         0.8009                  0.0385             312.4           5726.7841     6789.1824    -1062.3983
         0.8900                  0.0427             328.5           5955.3359     7044.4080    -1089.0721
         0.9792                  0.0470             337.1           6079.4067     7180.7904    -1101.3837
         1.0000                  0.0480             331.8           5903.5258     7097.0256    -1193.4998
         1.0890                  0.0551             329.3           6069.4344     7058.3184     -988.8840
         1.1783                  0.0596             333.6           6007.0256     7125.1488    -1118.1232
         1.2674                  0.0641             317.7           6167.4781     6873.8544     -706.3763
         1.3563                  0.0686             317.9           5953.0588     6876.5760     -923.5172
         1.4454                  0.0731             319.2           6105.0591     6897.7440     -792.6849
         1.5345                  0.0776             317.8           6091.6517     6875.9712     -784.3195
         1.6235                  0.0821             313.5           6082.1974     6806.7216     -724.5242
         1.7125                  0.0866             316.2           5998.8830     6849.9648     -851.0818
         1.8015                  0.0911             335.6           6382.1428     7157.8080     -775.6652
         1.8905                  0.0956             315.4           5817.4442     6837.5664    -1020.1222
         1.9794                  0.1001             312.6           5839.3390     6792.8112     -953.4722
         2.0000                  0.1012             310.3           5641.1715     6755.9184    -1114.7469
         2.0889                  0.1121             328.6           5909.0536     7046.2224    -1137.1688
         2.1777                  0.1169             320.2           6054.1017     6912.8640     -858.7623
         2.2667                  0.1216             316.7           5630.8340     6858.1296    -1227.2956
         2.3557                  0.1264             327.2           5858.2542     7025.0544    -1166.8002
         2.4449                  0.1312             335.5           5949.5107     7155.6912    -1206.1805
         2.5338                  0.1360             341.9           6296.1010     7257.9024     -961.8014
         2.6230                  0.1407             318.3           6062.8141     6883.2288     -820.4147
         2.7118                  0.1455             330.2           6269.0110     7072.2288     -803.2178
         2.8009                  0.1503             320.8           5755.8566     6922.5408    -1166.6842
         2.8899                  0.1551             326.2           5558.0990     7007.8176    -1449.7186
         2.9791                  0.1599             334.1           5716.7512     7133.6160    -1416.8648
         3.0000                  0.1610             307.3           5353.9216     6709.0464    -1355.1248
         3.0892                  0.1772             341.4           6117.5619     7249.7376    -1132.1757
         3.1781                  0.1823             334.0           5862.8722     7132.1040    -1269.2318
         3.2671                  0.1874             339.5           6151.3337     7218.8928    -1067.5591
         3.3561                  0.1925             337.8           6301.1120     7191.9792     -890.8672
         3.4454                  0.1976             335.7           5894.0156     7159.3200    -1265.3044
         3.5344                  0.2027             321.1           5733.3675     6927.0768    -1193.7093
         3.6237                  0.2078             324.3           5987.7783     6978.1824     -990.4041
         3.7128                  0.2129             326.5           6200.3203     7013.5632     -813.2429
         3.8015                  0.2180             323.0           6051.9158     6957.9216     -906.0058
         3.8903                  0.2232             317.9           5792.0297     6876.8784    -1084.8487
         3.9794                  0.2283             324.9           6144.1917     6987.5568     -843.3651
         4.0000                  0.2294             321.7           5975.1135     6936.4512     -961.3377
         4.0891                  0.2533             333.5           5859.1223     7124.5440    -1265.4217
         4.1783                  0.2589             324.3           5943.5402     6978.4848    -1034.9446
