     collisions(billions)   time(microsecond)   temperature(K)   Etotal(kJ/mol)   KE(kJ/mol)   PE(kJ/mol)
===============================================================================================================
         0.0000                  0.0000             385.8          10896.3789    11268.2052     -371.8263
         0.1273                  0.0043             322.1           8552.7614     9836.0640    -1283.3026
         0.2543                  0.0085             326.3           8630.3135     9932.0256    -1301.7121
         0.3813                  0.0128             322.2           8431.0150     9839.0628    -1408.0478
         0.5083                  0.0171             327.2           8782.2587     9952.1604    -1169.9017
         0.6355                  0.0214             322.5           8426.8299     9846.3456    -1419.5157
         0.7626                  0.0256             310.7           8422.0327     9580.7376    -1158.7049
         0.8898                  0.0299             334.6           8841.5509    10117.9512    -1276.4003
         1.0000                  0.0336             317.6           8851.8774     9735.8184     -883.9410
         1.1269                  0.0399             332.4           9085.7541    10068.6852     -982.9311
         1.2540                  0.0444             322.4           8736.1529     9842.9184    -1106.7655
         1.3813                  0.0489             330.6           8799.4045    10028.4156    -1229.0111
         1.5085                  0.0535             321.7           8481.3436     9827.0676    -1345.7240
         1.6353                  0.0580             325.7           9065.8695     9917.8884     -852.0189
         1.7626                  0.0625             332.2           9021.6770    10064.4012    -1042.7242
         1.8897                  0.0670             317.1           8755.5674     9725.5368     -969.9694
         2.0000                  0.0709             306.1           8384.7668     9478.3500    -1093.5832
         2.1273                  0.0799             316.3           8702.7559     9706.2588    -1003.5029
         2.2545                  0.0847             338.9           8963.0658    10214.3412    -1251.2754
         2.3815                  0.0895             323.0           8774.0707     9857.9124    -1083.8417
         2.5085                  0.0943             316.9           8624.1401     9719.5392    -1095.3991
         2.6359                  0.0990             327.0           9001.1245     9946.1628     -945.0383
         2.7631                  0.1038             324.6           8623.5196     9893.4696    -1269.9500
         2.8903                  0.1086             328.6           8706.4986     9983.8620    -1277.3634
         3.0000                  0.1127             326.9           8826.2330     9944.4492    -1118.2162
         3.1273                  0.1256             338.4           9383.3055    10202.3460     -819.0405
         3.2548                  0.1307             315.1           8656.5720     9680.5548    -1023.9828
         3.3819                  0.1358             322.4           8901.6313     9842.9184     -941.2871
         3.5090                  0.1409             326.3           8198.2185     9931.1688    -1732.9503
         3.6360                  0.1460             328.5           8544.6594     9980.8632    -1436.2038
         3.7629                  0.1511             332.4           8505.5877    10068.6852    -1563.0975
         3.8900                  0.1563             321.5           7867.2352     9823.2120    -1955.9768
         4.0000                  0.1607             324.4           8019.8601     9887.4720    -1867.6119
         4.1271                  0.1791             334.4           8220.9005    10111.9536    -1891.0531
         4.2541                  0.1846             322.9           8518.3227     9854.9136    -1336.5909
         4.3816                  0.1901             318.7           8374.0998     9759.3804    -1385.2806
         4.5086                  0.1956             338.7           8833.7147    10210.0572    -1376.3425
         4.6357                  0.2011             317.8           7880.9321     9740.1024    -1859.1703
         4.7632                  0.2066             330.3           8071.1898    10020.7044    -1949.5146
         4.8901                  0.2122             319.9           7765.0903     9786.3696    -2021.2793
         5.0000                  0.2169             329.7           8198.1970    10006.5672    -1808.3702
         5.1269                  0.2303             323.1           7807.9523     9859.6260    -2051.6737
         5.2542                  0.2360             327.8           7978.7154     9965.8692    -1987.1538
         5.3812                  0.2417             333.8           8119.6036    10100.3868    -1980.7832
         5.5080                  0.2474             331.0           7983.4582    10036.9836    -2053.5254
         5.6352                  0.2531             331.6           8201.0240    10049.8356    -1848.8116
         5.7621                  0.2588             329.4           7801.3066     9999.7128    -2198.4062
         5.8890                  0.2645             335.5           8296.6671    10136.8008    -1840.1337
         6.0000                  0.2695             322.6           7886.9222     9848.0592    -1961.1370
         6.1271                  0.2856             328.5           8217.6387     9979.5780    -1761.9393
         6.2538                  0.2915             319.2           7648.2874     9770.9472    -2122.6598
         6.3810                  0.2974             326.9           8146.6734     9944.0208    -1797.3474
         6.5082                  0.3034             327.6           8365.5747     9960.3000    -1594.7253
         6.6353                  0.3093             322.7           8328.8066     9850.6296    -1521.8230
         6.7624                  0.3152             315.1           7890.1513     9680.5548    -1790.4035
         6.8893                  0.3211             330.5           8029.1860    10025.8452    -1996.6592
         7.0000                  0.3263             335.6           8585.7148    10138.9428    -1553.2280
         7.1271                  0.3458             318.7           8001.0812     9761.0940    -1760.0128
         7.2541                  0.3520             318.9           7611.5702     9764.5212    -2152.9510
         7.3811                  0.3581             319.8           7736.2377     9785.9412    -2049.7035
         7.5082                  0.3643             325.1           7734.7706     9905.0364    -2170.2658
         7.6351                  0.3705             325.6           7985.3037     9915.3180    -1930.0143
         7.7619                  0.3766             315.5           7667.2953     9689.5512    -2022.2559
         7.8894                  0.3828             325.5           8030.0519     9913.6044    -1883.5525
         8.0000                  0.3882             320.8           7697.1049     9808.6464    -2111.5415
         8.1271                  0.4119             324.0           7925.4827     9879.3324    -1953.8497
         8.2540                  0.4183             329.5           7899.5256    10002.7116    -2103.1860
         8.3807                  0.4247             329.0           7955.4251     9992.4300    -2037.0049
         8.5076                  0.4312             320.5           7471.8216     9801.7920    -2329.9704
         8.6345                  0.4376             330.1           7648.7183    10015.9920    -2367.2737
         8.7615                  0.4441             325.0           7601.0980     9902.4660    -2301.3680
         8.8887                  0.4505             331.1           7984.9730    10039.9824    -2055.0094
         9.0000                  0.4561             323.6           7501.2418     9870.7644    -2369.5226
         9.1273                  0.4972             331.1           7866.3390    10038.2688    -2171.9298
         9.2545                  0.5041             329.9           7607.2167    10012.1364    -2404.9197
         9.3811                  0.5111             316.7           7568.7447     9716.1120    -2147.3673
         9.5082                  0.5180             322.3           7986.5497     9842.0616    -1855.5119
         9.6353                  0.5249             331.9           8104.8598    10057.9752    -1953.1154
         9.7624                  0.5318             314.2           7706.8150     9659.5632    -1952.7482
         9.8894                  0.5388             322.7           8007.8923     9849.7728    -1841.8805
        10.0000                  0.5448             323.6           7788.5343     9870.7644    -2082.2301
        10.1274                  0.5517             329.7           8259.7473    10006.5672    -1746.8199
        10.2544                  0.5586             321.2           8300.4751     9816.3576    -1515.8825
        10.3812                  0.5655             319.6           7784.6637     9779.9436    -1995.2799
        10.5085                  0.5725             322.3           8051.6391     9842.0616    -1790.4225
        10.6355                  0.5794             328.6           7644.3140     9983.0052    -2338.6912
        10.7624                  0.5863             318.6           7424.5059     9758.9520    -2334.4461
        10.8895                  0.5932             330.2           7722.2011    10018.5624    -2296.3613
        11.0000                  0.5992             313.4           7543.2015     9640.2852    -2097.0837
        11.1270                  0.6062             333.3           7326.6197    10089.2484    -2762.6287
        11.2543                  0.6131             322.7           7665.0866     9849.3444    -2184.2578
        11.3809                  0.6200             327.8           7829.9588     9963.7272    -2133.7684
        11.5080                  0.6269             327.2           7285.2269     9950.4468    -2665.2199
        11.6348                  0.6339             316.6           7435.2561     9712.2564    -2277.0003
        11.7617                  0.6408             326.7           7882.3942     9940.1652    -2057.7710
        11.8889                  0.6477             330.0           7795.1175    10014.2784    -2219.1609
        12.0000                  0.6538             322.4           7751.5904     9842.9184    -2091.3280
        12.1273                  0.6607             330.0           7822.7186    10013.4216    -2190.7030
        12.2545                  0.6676             329.1           8102.7884     9993.7152    -1890.9268
        12.3817                  0.6745             321.3           7819.7353     9819.7848    -2000.0495
        12.5085                  0.6815             315.1           8072.7828     9680.1264    -1607.3436
        12.6355                  0.6884             333.6           8020.8041    10096.1028    -2075.2987
        12.7626                  0.6953             320.1           7792.7708     9791.0820    -1998.3112
        12.8897                  0.7022             323.0           8147.0641     9856.1988    -1709.1347
        13.0000                  0.7082             321.2           8109.6842     9815.9292    -1706.2450
        13.1268                  0.7152             329.7           8136.1481    10006.9956    -1870.8475
