     collisions(billions)   time(microsecond)   temperature(K)   Etotal(kJ/mol)   KE(kJ/mol)   PE(kJ/mol)
===============================================================================================================
         0.0000                  0.0000             398.0           8036.6718     8146.3536     -109.6818
         0.0887                  0.0043             341.0           6340.2993     7242.7824     -902.4831
         0.1772                  0.0085             320.0           6099.9935     6909.5376     -809.5441
         0.2659                  0.0128             321.4           6027.8535     6932.8224     -904.9689
         0.3547                  0.0170             320.4           6134.9940     6916.1904     -781.1964
         0.4435                  0.0213             293.6           5141.3700     6491.0160    -1349.6460
         0.5325                  0.0255             320.3           5936.9039     6914.9808     -978.0769
         0.6213                  0.0298             309.8           5711.9453     6748.6608    -1036.7155
         0.7101                  0.0340             314.2           5694.4566     6818.5152    -1124.0586
         0.7989                  0.0383             323.7           5708.7338     6968.8080    -1260.0742
         0.8875                  0.0426             328.3           6111.2650     7042.2912     -931.0262
         0.9763                  0.0468             319.7           5704.1543     6905.9088    -1201.7545
         1.0000                  0.0480             307.9           5364.0679     6718.4208    -1354.3529
         1.0887                  0.0550             329.3           5804.6590     7057.1088    -1252.4498
         1.1773                  0.0595             323.1           5794.2085     6959.4336    -1165.2251
         1.2659                  0.0640             319.6           5610.7633     6903.4896    -1292.7263
         1.3547                  0.0685             315.5           5751.1565     6838.7760    -1087.6195
         1.4433                  0.0730             321.3           5792.9408     6931.6128    -1138.6720
         1.5322                  0.0775             319.7           5331.3344     6905.6064    -1574.2720
         1.6210                  0.0819             313.3           5603.2476     6804.3024    -1201.0548
         1.7096                  0.0864             333.1           6081.9641     7117.5888    -1035.6247
         1.7985                  0.0909             324.4           5794.8224     6979.3920    -1184.5696
         1.8872                  0.0954             323.7           5814.4816     6968.2032    -1153.7216
         1.9759                  0.0999             316.6           5776.2578     6855.7104    -1079.4526
         2.0000                  0.1011             313.5           5353.9865     6806.4192    -1452.4327
         2.0886                  0.1120             297.0           5480.5194     6544.8432    -1064.3238
         2.1774                  0.1168             328.7           5850.1051     7048.9440    -1198.8389
         2.2662                  0.1215             323.6           6002.1956     6967.5984     -965.4028
         2.3550                  0.1263             318.9           5921.2018     6892.3008     -971.0990
         2.4437                  0.1310             320.8           5899.4086     6923.1456    -1023.7370
         2.5324                  0.1358             333.1           6019.3549     7118.1936    -1098.8387
         2.6210                  0.1405             323.1           5961.4213     6959.1312     -997.7099
         2.7095                  0.1453             317.9           5810.8025     6877.4832    -1066.6807
         2.7982                  0.1501             318.3           5721.8197     6882.6240    -1160.8043
         2.8869                  0.1548             326.3           5860.6887     7009.9344    -1149.2457
         2.9756                  0.1596             329.6           6146.6694     7062.8544     -916.1850
         3.0000                  0.1609             322.2           6050.1411     6944.6160     -894.4749
         3.0888                  0.1771             318.6           5626.0673     6888.3696    -1262.3023
         3.1775                  0.1822             307.9           5426.4140     6717.8160    -1291.4020
         3.2662                  0.1873             327.3           5584.5713     7026.2640    -1441.6927
         3.3549                  0.1923             318.0           5343.1464     6878.9952    -1535.8488
         3.4435                  0.1974             330.3           5849.0063     7074.3456    -1225.3393
         3.5320                  0.2025             319.2           5767.9018     6897.7440    -1129.8422
         3.6207                  0.2076             320.4           5812.5767     6916.4928    -1103.9161
         3.7094                  0.2127             321.2           5722.2678     6929.4960    -1207.2282
         3.7981                  0.2178             334.4           6186.0893     7139.0592     -952.9699
         3.8867                  0.2229             301.6           5129.8030     6617.7216    -1487.9186
         3.9754                  0.2279             322.3           5808.7258     6946.4304    -1137.7046
         4.0000                  0.2293             313.3           5785.6683     6804.3024    -1018.6341
         4.0888                  0.2532             309.8           5367.6773     6748.3584    -1380.6811
