     collisions(billions)   time(microsecond)   temperature(K)   Etotal(kJ/mol)   KE(kJ/mol)   PE(kJ/mol)
===============================================================================================================
         0.0000                  0.0000             398.0           8036.6718     8146.3536     -109.6818
         0.0887                  0.0043             320.8           5897.4705     6922.8432    -1025.3727
         0.1777                  0.0085             330.4           5695.7612     7075.2528    -1379.4916
         0.2665                  0.0128             326.0           5736.4522     7005.7008    -1269.2486
         0.3551                  0.0170             324.3           5756.9676     6978.1824    -1221.2148
         0.4440                  0.0213             329.9           5491.3592     7066.7856    -1575.4264
         0.5328                  0.0255             316.7           5514.0242     6857.5248    -1343.5006
         0.6215                  0.0298             302.4           5182.2848     6630.7248    -1448.4400
         0.7103                  0.0340             316.0           5686.1907     6847.5456    -1161.3549
         0.7990                  0.0383             317.8           5791.6278     6875.3664    -1083.7386
         0.8878                  0.0426             335.1           5858.2609     7149.9456    -1291.6847
         0.9764                  0.0468             317.8           5456.0385     6875.3664    -1419.3279
         1.0000                  0.0479             307.9           5463.1512     6718.1184    -1254.9672
         1.0889                  0.0550             333.6           5651.9964     7126.3584    -1474.3620
         1.1778                  0.0595             313.2           5373.7627     6802.1856    -1428.4229
         1.2662                  0.0640             301.4           5480.3284     6615.6048    -1135.2764
         1.3549                  0.0685             310.6           5704.2491     6761.9664    -1057.7173
         1.4436                  0.0730             321.5           5816.0476     6934.6368    -1118.5892
         1.5325                  0.0775             317.0           5895.4664     6862.0608     -966.5944
         1.6213                  0.0819             315.7           5516.5037     6842.1024    -1325.5987
         1.7103                  0.0864             317.5           5333.6989     6871.1328    -1537.4339
         1.7992                  0.0909             320.4           5327.2675     6917.4000    -1590.1325
         1.8881                  0.0954             324.6           5466.8505     6983.9280    -1517.0775
         1.9769                  0.0999             327.5           5922.3120     7029.8928    -1107.5808
         2.0000                  0.1011             324.6           5913.8596     6982.7184    -1068.8588
         2.0888                  0.1119             310.0           5705.9956     6751.3824    -1045.3868
         2.1775                  0.1167             324.7           5964.5354     6984.2304    -1019.6950
         2.2661                  0.1215             319.2           5739.9723     6897.1392    -1157.1669
         2.3548                  0.1262             320.1           6033.1015     6911.9568     -878.8553
         2.4434                  0.1310             323.1           6059.7199     6959.1312     -899.4113
         2.5323                  0.1357             323.3           6057.0809     6962.7600     -905.6791
         2.6211                  0.1405             321.5           6150.8768     6934.0320     -783.1552
         2.7098                  0.1452             305.4           5789.8760     6679.4112     -889.5352
         2.7984                  0.1500             328.2           6214.0690     7039.8720     -825.8030
         2.8871                  0.1548             315.0           5825.0744     6830.3088    -1005.2344
         2.9759                  0.1595             317.5           5858.0590     6871.1328    -1013.0738
         3.0000                  0.1608             324.0           6008.3900     6973.6464     -965.2564
         3.0890                  0.1770             322.2           6134.0763     6945.5232     -811.4469
         3.1776                  0.1821             310.6           5359.1707     6761.3616    -1402.1909
         3.2663                  0.1872             324.9           6136.3197     6988.7664     -852.4467
         3.3551                  0.1923             318.6           5707.9931     6887.7648    -1179.7717
         3.4437                  0.1974             319.5           5954.5227     6901.6752     -947.1525
         3.5323                  0.2024             328.8           5930.3151     7050.1536    -1119.8385
         3.6211                  0.2075             316.7           5739.9954     6858.1296    -1118.1342
         3.7098                  0.2126             336.8           6187.9350     7177.4640     -989.5290
         3.7985                  0.2177             309.8           5702.2709     6749.2656    -1046.9947
         3.8870                  0.2228             316.2           5756.6433     6849.9648    -1093.3215
         3.9756                  0.2279             302.6           5605.6258     6634.9584    -1029.3326
         4.0000                  0.2293             310.1           5657.6100     6752.5920    -1094.9820
         4.0888                  0.2531             331.5           6118.7035     7092.4896     -973.7861
