     collisions(billions)   time(microsecond)   temperature(K)   Etotal(kJ/mol)   KE(kJ/mol)   PE(kJ/mol)
===============================================================================================================
         0.0000                  0.0000             389.8          11021.9557    11356.4556     -334.4999
         0.1266                  0.0043             311.5           8465.4899     9598.3020    -1132.8121
         0.2528                  0.0085             326.8           8928.1554     9942.7356    -1014.5802
         0.3790                  0.0128             322.4           8597.4562     9843.7752    -1246.3190
         0.5057                  0.0170             325.1           8703.5602     9905.0364    -1201.4762
         0.6323                  0.0213             319.6           8793.9295     9781.6572     -987.7277
         0.7586                  0.0255             322.6           8815.4435     9847.6308    -1032.1873
         0.8854                  0.0298             328.9           8562.2061     9989.4312    -1427.2251
         1.0000                  0.0336             324.1           8654.6587     9881.9028    -1227.2441
         1.1264                  0.0399             311.2           8488.5909     9592.7328    -1104.1419
         1.2527                  0.0444             323.8           8378.1806     9874.6200    -1496.4394
         1.3787                  0.0489             311.9           8136.9515     9607.7268    -1470.7753
         1.5049                  0.0534             320.0           8101.6086     9789.3684    -1687.7598
         1.6313                  0.0579             310.7           8561.9743     9579.8808    -1017.9065
         1.7575                  0.0624             313.5           8091.2968     9644.1408    -1552.8440
         1.8838                  0.0669             318.0           8369.9570     9744.8148    -1374.8578
         2.0000                  0.0710             314.7           8558.2604     9669.8448    -1111.5844
         2.1266                  0.0800             325.2           8836.0763     9906.7500    -1070.6737
         2.2527                  0.0848             310.6           8582.6533     9579.0240     -996.3707
         2.3788                  0.0896             325.6           8505.2893     9914.8896    -1409.6003
         2.5053                  0.0943             312.4           8569.9487     9618.8652    -1048.9165
         2.6318                  0.0991             325.2           8578.3838     9905.4648    -1327.0810
         2.7582                  0.1038             320.7           8465.0926     9804.3624    -1339.2698
         2.8842                  0.1086             310.4           8308.6341     9573.0264    -1264.3923
         3.0000                  0.1129             322.4           8487.5715     9844.2036    -1356.6321
         3.1263                  0.1258             327.0           8824.8739     9947.4480    -1122.5741
         3.2527                  0.1309             313.8           8538.5451     9649.7100    -1111.1649
         3.3789                  0.1360             320.9           8777.9316     9809.0748    -1031.1432
         3.5051                  0.1411             327.1           8220.9673     9950.0184    -1729.0511
         3.6316                  0.1462             311.4           8377.4892     9595.3032    -1217.8140
