     collisions(billions)   time(microsecond)   temperature(K)   Etotal(kJ/mol)   KE(kJ/mol)   PE(kJ/mol)
===============================================================================================================
         0.0000                  0.0000             395.7           7795.9963     8110.9728     -314.9765
         0.0891                  0.0043             325.8           6002.0099     7002.0720    -1000.0621
         0.1780                  0.0085             319.7           5849.9556     6905.0016    -1055.0460
         0.2669                  0.0128             323.1           6040.5064     6959.4336     -918.9272
         0.3559                  0.0170             310.0           5708.3856     6751.6848    -1043.2992
         0.4449                  0.0213             302.8           5633.5025     6637.3776    -1003.8751
         0.5339                  0.0255             312.1           5632.2957     6785.5536    -1153.2579
         0.6229                  0.0298             316.8           5651.4496     6860.2464    -1208.7968
         0.7119                  0.0340             307.3           5366.1631     6709.0464    -1342.8833
         0.8011                  0.0383             332.0           5858.3589     7100.6544    -1242.2955
         0.8903                  0.0426             304.1           5518.2111     6658.2432    -1140.0321
         0.9793                  0.0468             323.7           5647.3292     6968.2032    -1320.8740
         1.0000                  0.0478             323.2           5790.6317     6960.3408    -1169.7091
         1.0890                  0.0549             305.4           5081.4156     6678.2016    -1596.7860
         1.1781                  0.0594             327.4           5598.6186     7027.1712    -1428.5526
         1.2673                  0.0638             317.4           5260.8256     6869.0160    -1608.1904
         1.3561                  0.0683             325.2           5425.6509     6992.6976    -1567.0467
         1.4452                  0.0728             315.0           5273.2182     6830.9136    -1557.6954
         1.5341                  0.0773             318.8           5343.6841     6890.7888    -1547.1047
         1.6231                  0.0818             315.7           5231.1255     6841.8000    -1610.6745
         1.7124                  0.0863             317.6           5134.1001     6872.0400    -1737.9399
         1.8015                  0.0908             322.7           5744.9946     6953.0832    -1208.0886
         1.8905                  0.0952             318.3           5644.7686     6883.2288    -1238.4602
         1.9794                  0.0997             327.8           5621.2606     7034.1264    -1412.8658
         2.0000                  0.1008             320.5           5589.3195     6918.6096    -1329.2901
         2.0892                  0.1116             321.1           5174.3217     6928.2864    -1753.9647
         2.1785                  0.1164             322.3           5692.9281     6946.1280    -1253.1999
         2.2678                  0.1211             313.5           5805.1759     6807.9312    -1002.7553
         2.3567                  0.1259             322.5           5851.8759     6950.3616    -1098.4857
         2.4457                  0.1307             318.7           5387.8104     6889.2768    -1501.4664
         2.5347                  0.1354             314.8           5369.2819     6827.5872    -1458.3053
         2.6236                  0.1402             311.7           5494.3950     6778.5984    -1284.2034
         2.7126                  0.1449             317.3           5471.4688     6867.5040    -1396.0352
         2.8017                  0.1497             317.1           5602.1767     6864.4800    -1262.3033
         2.8905                  0.1545             328.6           6026.3850     7046.8272    -1020.4422
         2.9794                  0.1592             315.6           5701.9290     6840.5904    -1138.6614
         3.0000                  0.1603             327.3           6013.5074     7025.3568    -1011.8494
         3.0890                  0.1765             321.2           5736.4651     6929.7984    -1193.3333
         3.1780                  0.1816             314.0           5494.0027     6814.5840    -1320.5813
         3.2671                  0.1866             333.9           5903.2119     7130.5920    -1227.3801
         3.3560                  0.1917             309.7           5480.5534     6747.4512    -1266.8978
         3.4449                  0.1968             339.6           6188.5485     7220.7072    -1032.1587
         3.5340                  0.2019             313.3           5708.9361     6804.0000    -1095.0639
         3.6227                  0.2070             313.6           5664.6752     6808.8384    -1144.1632
         3.7118                  0.2121             327.1           5918.2005     7022.3328    -1104.1323
         3.8008                  0.2172             307.7           5477.5437     6716.0016    -1238.4579
         3.8899                  0.2222             325.9           5872.9366     7004.1888    -1131.2522
         3.9791                  0.2273             318.8           5520.4402     6891.0912    -1370.6510
         4.0000                  0.2285             298.9           5050.5040     6575.0832    -1524.5792
         4.0892                  0.2523             312.6           5561.6948     6792.8112    -1231.1164
         4.1781                  0.2578             321.6           5640.5259     6935.2416    -1294.7157
         4.2669                  0.2633             329.5           6164.6933     7060.7376     -896.0443
         4.3558                  0.2688             331.6           5877.8554     7093.6992    -1215.8438
         4.4449                  0.2743             338.2           6169.2867     7198.6320    -1029.3453
         4.5341                  0.2798             324.6           5872.6084     6983.6256    -1111.0172
         4.6232                  0.2853             334.6           5904.1535     7141.7808    -1237.6273
         4.7123                  0.2908             317.3           5799.2605     6867.8064    -1068.5459
         4.8013                  0.2963             313.9           5781.9798     6812.7696    -1030.7898
         4.8904                  0.3018             319.7           5792.5646     6906.2112    -1113.6466
         4.9795                  0.3073             314.9           5735.0410     6830.0064    -1094.9654
         5.0000                  0.3085             334.7           5704.0689     7142.6880    -1438.6191
         5.0894                  0.3251             311.4           5608.4944     6774.0624    -1165.5680
         5.1784                  0.3307             315.7           5583.3112     6841.4976    -1258.1864
         5.2675                  0.3364             320.4           5267.8472     6916.1904    -1648.3432
         5.3563                  0.3421             324.1           5476.0317     6976.0656    -1500.0339
         5.4453                  0.3478             327.1           5953.1182     7022.3328    -1069.2146
         5.5343                  0.3535             316.9           5524.1451     6861.1536    -1337.0085
         5.6236                  0.3592             311.2           5447.4429     6770.4336    -1322.9907
         5.7126                  0.3649             327.4           5799.7320     7027.4736    -1227.7416
         5.8019                  0.3705             313.0           5382.9060     6799.1616    -1416.2556
         5.8910                  0.3762             322.3           5738.9015     6947.3376    -1208.4361
         5.9801                  0.3819             312.5           5408.9834     6791.9040    -1382.9206
         6.0000                  0.3832             324.2           5623.4804     6977.5776    -1354.0972
         6.0891                  0.4036             321.4           5436.7322     6932.5200    -1495.7878
         6.1785                  0.4095             313.6           5396.8927     6808.8384    -1411.9457
         6.2675                  0.4154             300.6           5179.5932     6602.9040    -1423.3108
         6.3566                  0.4213             316.8           5602.7742     6859.9440    -1257.1698
         6.4458                  0.4272             303.3           5477.9644     6645.5424    -1167.5780
         6.5349                  0.4331             326.0           6092.0651     7006.0032     -913.9381
         6.6239                  0.4390             321.2           5615.9655     6928.5888    -1312.6233
         6.7130                  0.4449             319.2           5652.6925     6897.7440    -1245.0515
         6.8023                  0.4508             320.5           5134.1753     6918.3072    -1784.1319
         6.8913                  0.4567             312.9           5219.3649     6797.6496    -1578.2847
         6.9804                  0.4626             317.2           5408.4896     6866.2944    -1457.8048
         7.0000                  0.4639             315.4           5346.8808     6837.8688    -1490.9880
         7.0892                  0.4890             315.0           5382.8965     6830.3088    -1447.4123
         7.1780                  0.4951             328.0           5736.8419     7037.7552    -1300.9133
         7.2669                  0.5012             317.1           5441.9836     6864.1776    -1422.1940
         7.3563                  0.5074             322.2           5065.1954     6944.9184    -1879.7230
         7.4458                  0.5135             316.9           5148.6545     6861.4560    -1712.8015
         7.5351                  0.5197             323.1           5600.8023     6960.0384    -1359.2361
         7.6242                  0.5258             322.6           5812.9690     6951.8736    -1138.9046
         7.7133                  0.5320             318.3           5820.4723     6882.9264    -1062.4541
         7.8025                  0.5381             330.7           5824.4397     7080.0912    -1255.6515
         7.8915                  0.5442             321.6           5399.4055     6935.2416    -1535.8361
