     collisions(billions)   time(microsecond)   temperature(K)   Etotal(kJ/mol)   KE(kJ/mol)   PE(kJ/mol)
===============================================================================================================
         0.0000                  0.0000             389.7           7691.7298     8016.0192     -324.2894
         0.0891                  0.0043             338.2           5894.1372     7198.3296    -1304.1924
         0.1782                  0.0085             319.3           5774.4580     6898.9536    -1124.4956
         0.2673                  0.0128             318.0           5891.5649     6877.7856     -986.2207
         0.3562                  0.0170             314.3           5499.8052     6820.6320    -1320.8268
         0.4452                  0.0213             323.7           5728.0544     6969.7152    -1241.6608
         0.5341                  0.0255             340.0           5915.7781     7226.7552    -1310.9771
         0.6231                  0.0298             315.7           5413.7873     6842.7072    -1428.9199
         0.7123                  0.0340             323.2           5440.1366     6960.3408    -1520.2042
         0.8012                  0.0383             327.9           5726.5416     7035.6384    -1309.0968
         0.8901                  0.0426             308.9           5379.7435     6734.1456    -1354.4021
         0.9790                  0.0468             329.6           5937.4501     7061.9472    -1124.4971
         1.0000                  0.0478             310.2           5575.5495     6754.4064    -1178.8569
         1.0891                  0.0549             318.1           5410.3471     6880.5072    -1470.1601
         1.1782                  0.0594             309.9           5375.4688     6750.4752    -1375.0064
         1.2673                  0.0639             326.8           5448.5461     7017.7968    -1569.2507
         1.3561                  0.0683             313.7           5358.6492     6810.9552    -1452.3060
         1.4452                  0.0728             336.7           5981.1116     7175.0448    -1193.9332
         1.5341                  0.0773             322.4           5957.5822     6948.5472     -990.9650
         1.6229                  0.0818             324.5           5892.9892     6981.5088    -1088.5196
         1.7119                  0.0863             324.1           5974.6361     6976.0656    -1001.4295
         1.8007                  0.0908             334.5           6320.3446     7139.6640     -819.3194
         1.8896                  0.0953             333.4           6228.6824     7123.3344     -894.6520
         1.9790                  0.0997             317.8           5498.8101     6875.0640    -1376.2539
         2.0000                  0.1008             322.9           5629.8969     6957.0144    -1327.1175
         2.0891                  0.1117             321.5           5651.8174     6934.6368    -1282.8194
         2.1781                  0.1164             309.2           5409.7806     6739.2864    -1329.5058
         2.2670                  0.1212             319.3           5441.1472     6898.9536    -1457.8064
         2.3561                  0.1260             326.0           6014.9714     7005.3984     -990.4270
