     collisions(billions)   time(microsecond)   temperature(K)   Etotal(kJ/mol)   KE(kJ/mol)   PE(kJ/mol)
===============================================================================================================
         0.0000                  0.0000             385.8          10896.3789    11268.2052     -371.8263
         0.1267                  0.0043             324.8           8723.5950     9897.3252    -1173.7302
         0.2530                  0.0085             319.5           8705.5486     9778.2300    -1072.6814
         0.3796                  0.0128             320.9           8401.7732     9810.7884    -1409.0152
         0.5061                  0.0170             322.5           8732.8251     9845.4888    -1112.6637
         0.6325                  0.0213             315.1           8082.4547     9679.2696    -1596.8149
         0.7591                  0.0255             312.3           8409.8931     9616.2948    -1206.4017
         0.8858                  0.0298             321.5           8815.3653     9823.6404    -1008.2751
         1.0000                  0.0336             300.1           8079.8725     9341.6904    -1261.8179
         1.1266                  0.0399             309.5           8255.3695     9554.1768    -1298.8073
         1.2530                  0.0444             321.9           8731.5049     9832.2084    -1100.7035
         1.3796                  0.0489             323.2           8554.4807     9861.3396    -1306.8589
         1.5064                  0.0534             318.2           8414.6784     9749.0988    -1334.4204
         1.6327                  0.0579             312.1           8317.5968     9611.5824    -1293.9856
         1.7593                  0.0624             318.6           8452.2615     9757.2384    -1304.9769
         1.8861                  0.0668             322.3           8699.6016     9840.3480    -1140.7464
         2.0000                  0.0709             319.4           8381.7214     9776.5164    -1394.7950
         2.1268                  0.0799             323.0           8337.0189     9857.4840    -1520.4651
         2.2539                  0.0847             315.1           8328.8194     9679.6980    -1350.8786
         2.3806                  0.0895             320.4           8536.1518     9798.7932    -1262.6414
         2.5075                  0.0942             313.2           8748.8055     9636.8580     -888.0525
         2.6341                  0.0990             330.8           8754.0414    10032.6996    -1278.6582
         2.7610                  0.1037             312.4           8608.6701     9619.2936    -1010.6235
         2.8877                  0.1085             325.4           8587.2567     9910.1772    -1322.9205
         3.0000                  0.1127             319.0           8606.5030     9766.6632    -1160.1602
         3.1266                  0.1256             316.3           8512.3261     9706.2588    -1193.9327
         3.2534                  0.1307             317.0           8687.4837     9722.5380    -1035.0543
         3.3799                  0.1357             322.7           8780.6732     9849.3444    -1068.6712
         3.5065                  0.1408             316.6           8518.8574     9712.2564    -1193.3990
         3.6333                  0.1459             336.8           8827.2262    10167.2172    -1339.9910
         3.7599                  0.1510             321.0           8322.3267     9811.2168    -1488.8901
         3.8867                  0.1561             328.9           8468.2950     9989.8596    -1521.5646
         4.0000                  0.1606             318.8           8031.9779     9761.9508    -1729.9729
         4.1267                  0.1790             304.2           7914.5327     9434.6532    -1520.1205
         4.2531                  0.1845             330.5           8846.6786    10024.9884    -1178.3098
         4.3797                  0.1900             300.4           8387.7086     9349.8300     -962.1214
         4.5062                  0.1955             326.0           8670.3014     9924.7428    -1254.4414
         4.6327                  0.2010             319.1           8538.6895     9770.0904    -1231.4009
         4.7593                  0.2065             327.0           8550.7230     9946.5912    -1395.8682
         4.8861                  0.2120             321.0           8590.9312     9812.9304    -1221.9992
         5.0000                  0.2169             313.6           8274.6623     9646.2828    -1371.6205
         5.1267                  0.2302             310.7           8178.7805     9579.8808    -1401.1003
         5.2535                  0.2359             327.0           8824.2739     9946.5912    -1122.3173
         5.3802                  0.2416             326.8           8700.4646     9942.3072    -1241.8426
         5.5069                  0.2473             325.2           8622.4476     9905.4648    -1283.0172
         5.6335                  0.2530             311.1           8216.3023     9590.1624    -1373.8601
         5.7601                  0.2586             332.8           8561.7658    10077.6816    -1515.9158
         5.8868                  0.2643             335.9           8719.9707    10146.2256    -1426.2549
         6.0000                  0.2694             320.9           8261.5742     9809.9316    -1548.3574
         6.1263                  0.2855             324.5           8388.6197     9890.8992    -1502.2795
         6.2530                  0.2914             316.8           8615.2246     9718.6824    -1103.4578
         6.3799                  0.2973             319.4           8531.8545     9776.0880    -1244.2335
         6.5065                  0.3032             326.2           8621.0357     9929.8836    -1308.8479
         6.6330                  0.3091             320.0           8282.2563     9790.2252    -1507.9689
         6.7598                  0.3150             313.5           7825.1458     9643.2840    -1818.1382
         6.8866                  0.3209             314.8           8198.5817     9672.4152    -1473.8335
         7.0000                  0.3262             316.6           7783.8927     9712.2564    -1928.3637
         7.1270                  0.3456             314.8           8103.1859     9671.9868    -1568.8009
         7.2537                  0.3518             313.2           8296.5080     9637.2864    -1340.7784
         7.3802                  0.3579             327.2           8694.6813     9952.1604    -1257.4791
         7.5068                  0.3641             326.6           8859.3942     9938.0232    -1078.6290
         7.6334                  0.3702             319.3           8217.9623     9773.0892    -1555.1269
         7.7602                  0.3764             329.2           8576.9169     9996.7140    -1419.7971
         7.8869                  0.3825             324.7           8511.6977     9894.7548    -1383.0571
         8.0000                  0.3880             322.9           8672.5608     9854.4852    -1181.9244
         8.1269                  0.4116             331.1           8521.3148    10039.1256    -1517.8108
         8.2534                  0.4181             336.0           8830.9671    10149.6528    -1318.6857
         8.3801                  0.4245             319.3           7804.4678     9774.3744    -1969.9066
         8.5066                  0.4309             310.7           7708.7835     9580.7376    -1871.9541
         8.6332                  0.4373             331.0           8059.3976    10036.9836    -1977.5860
         8.7600                  0.4437             316.8           8222.2777     9718.2540    -1495.9763
         8.8865                  0.4501             316.4           8142.4128     9709.6860    -1567.2732
         9.0000                  0.4559             326.4           8101.4411     9932.8824    -1831.4413
         9.1267                  0.4969             321.1           8042.4669     9813.7872    -1771.3203
         9.2532                  0.5038             325.9           7722.2124     9923.0292    -2200.8168
         9.3796                  0.5107             321.4           7496.7821     9821.9268    -2325.1447
         9.5062                  0.5176             323.6           7751.6715     9871.1928    -2119.5213
         9.6326                  0.5245             316.2           7245.6504     9703.2600    -2457.6096
         9.7592                  0.5314             324.8           7500.5838     9897.3252    -2396.7414
         9.8858                  0.5383             328.6           8124.7932     9982.1484    -1857.3552
        10.0000                  0.5445             320.4           7749.0178     9797.9364    -2048.9186
        10.1262                  0.5514             315.4           7516.1604     9686.1240    -2169.9636
        10.2529                  0.5583             320.5           7714.5799     9801.3636    -2086.7837
        10.3796                  0.5652             320.8           7778.6382     9807.7896    -2029.1514
        10.5059                  0.5721             331.7           8047.7762    10053.2628    -2005.4866
        10.6326                  0.5790             318.9           7744.6427     9765.8064    -2021.1637
        10.7589                  0.5859             311.3           7890.9652     9593.5896    -1702.6244
        10.8854                  0.5928             320.1           7728.7957     9791.5104    -2062.7147
        11.0000                  0.5990             308.7           7188.5432     9535.3272    -2346.7840
        11.1267                  0.6059             332.5           7949.7700    10069.5420    -2119.7720
        11.2532                  0.6128             318.0           7443.0115     9745.6716    -2302.6601
        11.3797                  0.6197             313.9           7318.0893     9651.8520    -2333.7627
        11.5065                  0.6266             325.0           7671.5764     9902.4660    -2230.8896
        11.6330                  0.6335             329.4           7705.8762    10000.9980    -2295.1218
        11.7595                  0.6404             326.2           7664.4675     9928.1700    -2263.7025
        11.8863                  0.6473             320.8           7651.7405     9808.2180    -2156.4775
        12.0000                  0.6535             321.4           7681.8241     9820.2132    -2138.3891
        12.1267                  0.6604             322.3           7744.0445     9840.7764    -2096.7319
        12.2532                  0.6673             309.5           7336.7650     9552.8916    -2216.1266
        12.3799                  0.6742             318.4           7691.0948     9754.2396    -2063.1448
        12.5064                  0.6811             315.3           7632.9287     9683.1252    -2050.1965
        12.6330                  0.6879             322.6           7945.6333     9847.2024    -1901.5691
        12.7596                  0.6948             317.5           7941.4814     9733.2480    -1791.7666
        12.8863                  0.7017             321.8           7856.2026     9830.9232    -1974.7206
        13.0000                  0.7079             330.5           8074.6779    10024.5600    -1949.8821
        13.1267                  0.7148             316.5           7429.3282     9710.1144    -2280.7862
