     collisions(billions)   time(microsecond)   temperature(K)   Etotal(kJ/mol)   KE(kJ/mol)   PE(kJ/mol)
===============================================================================================================
         0.0000                  0.0000             385.8          10896.3789    11268.2052     -371.8263
         0.1267                  0.0043             322.3           8807.3502     9841.2048    -1033.8546
         0.2533                  0.0085             335.3           8670.7164    10133.8020    -1463.0856
         0.3799                  0.0128             319.4           8512.2376     9775.2312    -1262.9936
         0.5068                  0.0170             321.4           8626.4811     9821.0700    -1194.5889
         0.6336                  0.0213             321.1           8508.3922     9814.6440    -1306.2518
         0.7601                  0.0255             325.9           8377.2880     9922.1724    -1544.8844
         0.8869                  0.0298             316.0           8367.0588     9700.6896    -1333.6308
         1.0000                  0.0336             314.3           8298.6494     9660.4200    -1361.7706
         1.1267                  0.0399             326.4           8452.0545     9932.8824    -1480.8279
         1.2533                  0.0444             305.1           8309.9106     9454.3596    -1144.4490
         1.3800                  0.0489             319.3           8470.6406     9774.8028    -1304.1622
         1.5068                  0.0534             316.7           8160.6362     9716.5404    -1555.9042
         1.6334                  0.0578             307.6           8010.2829     9510.9084    -1500.6255
         1.7602                  0.0623             327.3           8815.6608     9952.5888    -1136.9280
         1.8870                  0.0668             319.4           8003.7842     9775.2312    -1771.4470
         2.0000                  0.0708             327.9           8261.7218     9967.1544    -1705.4326
         2.1266                  0.0799             317.9           8479.5771     9741.3876    -1261.8105
         2.2533                  0.0846             320.2           8495.6195     9794.0808    -1298.4613
         2.3800                  0.0894             315.6           8493.7561     9690.8364    -1197.0803
         2.5067                  0.0941             319.2           8552.9760     9770.9472    -1217.9712
         2.6335                  0.0989             316.8           8343.0646     9718.6824    -1375.6178
         2.7600                  0.1036             323.9           8419.0205     9877.6188    -1458.5983
         2.8868                  0.1084             331.9           8542.3612    10057.1184    -1514.7572
         3.0000                  0.1127             328.6           8557.5002     9983.0052    -1425.5050
         3.1264                  0.1255             317.2           8649.9759     9727.6788    -1077.7029
         3.2531                  0.1306             331.6           8596.2700    10051.1208    -1454.8508
         3.3799                  0.1357             321.9           8463.9759     9832.2084    -1368.2325
         3.5066                  0.1408             323.2           8047.5965     9860.9112    -1813.3147
         3.6333                  0.1459             325.7           8523.6045     9918.3168    -1394.7123
         3.7599                  0.1509             329.6           8356.5667    10004.8536    -1648.2869
         3.8865                  0.1560             333.4           8185.8323    10090.5336    -1904.7013
         4.0000                  0.1606             331.1           8558.8277    10039.9824    -1481.1547
         4.1264                  0.1789             313.2           8220.0587     9636.0012    -1415.9425
         4.2528                  0.1844             333.2           8854.7370    10085.3928    -1230.6558
         4.3794                  0.1899             329.3           8600.7404     9998.8560    -1398.1156
         4.5062                  0.1954             321.8           7990.6312     9830.4948    -1839.8636
         4.6328                  0.2009             319.9           8590.3172     9786.7980    -1196.4808
         4.7593                  0.2064             327.8           8639.4790     9965.4408    -1325.9618
         4.8859                  0.2119             316.1           7987.6969     9702.4032    -1714.7063
         5.0000                  0.2168             312.8           8429.5035     9627.8616    -1198.3581
         5.1265                  0.2301             323.1           8425.6150     9858.7692    -1433.1542
         5.2533                  0.2358             314.9           8346.9645     9674.5572    -1327.5927
         5.3799                  0.2415             317.2           8437.1623     9727.6788    -1290.5165
         5.5068                  0.2472             305.6           8197.7085     9465.0696    -1267.3611
         5.6336                  0.2529             323.4           8461.9828     9866.0520    -1404.0692
         5.7604                  0.2586             312.9           8220.6712     9630.8604    -1410.1892
         5.8872                  0.2643             306.0           7822.7296     9475.3512    -1652.6216
         6.0000                  0.2693             318.8           8319.5937     9763.6644    -1444.0707
         6.1267                  0.2854             322.3           8591.2584     9842.0616    -1250.8032
         6.2533                  0.2913             314.9           8584.6832     9675.4140    -1090.7308
         6.3797                  0.2972             329.9           8885.0667    10012.5648    -1127.4981
         6.5065                  0.3031             317.3           8280.9052     9728.1072    -1447.2020
         6.6331                  0.3090             321.4           8539.5019     9820.6416    -1281.1397
         6.7597                  0.3149             323.8           8301.7499     9874.6200    -1572.8701
         6.8865                  0.3208             325.6           8616.7595     9914.4612    -1297.7017
         7.0000                  0.3261             317.7           8239.6954     9737.1036    -1497.4082
         7.1268                  0.3456             320.0           8464.9176     9790.2252    -1325.3076
         7.2536                  0.3517             320.6           8321.7289     9803.5056    -1481.7767
         7.3804                  0.3578             311.3           8393.0932     9594.0180    -1200.9248
         7.5072                  0.3640             314.7           8346.4511     9669.8448    -1323.3937
         7.6336                  0.3701             324.3           8776.0871     9887.0436    -1110.9565
         7.7601                  0.3763             315.2           8151.4529     9680.9832    -1529.5303
         7.8869                  0.3824             318.0           8299.4635     9745.6716    -1446.2081
         8.0000                  0.3879             313.4           8101.6428     9641.1420    -1539.4992
         8.1265                  0.4116             321.3           8756.0264     9818.9280    -1062.9016
         8.2534                  0.4180             315.1           8374.2406     9680.1264    -1305.8858
         8.3800                  0.4244             312.9           8486.2632     9630.4320    -1144.1688
         8.5066                  0.4308             324.4           8668.5599     9888.3288    -1219.7689
         8.6332                  0.4372             314.9           8543.1602     9674.9856    -1131.8254
         8.7599                  0.4436             325.0           8547.7172     9902.8944    -1355.1772
         8.8866                  0.4501             322.4           8643.3640     9843.7752    -1200.4112
         9.0000                  0.4558             328.3           8797.0113     9976.5792    -1179.5679
         9.1266                  0.4968             324.3           8691.1765     9886.6152    -1195.4387
         9.2534                  0.5037             330.3           8951.2101    10020.7044    -1069.4943
         9.3801                  0.5106             324.1           8628.3866     9881.0460    -1252.6594
         9.5068                  0.5175             319.8           8225.0974     9785.9412    -1560.8438
         9.6333                  0.5244             316.6           8324.2526     9712.6848    -1388.4322
         9.7601                  0.5313             311.8           8279.3339     9604.2996    -1324.9657
         9.8866                  0.5382             311.5           8178.7973     9597.8736    -1419.0763
        10.0000                  0.5443             311.3           8141.7333     9593.1612    -1451.4279
        10.1267                  0.5512             327.0           8854.1340     9947.0196    -1092.8856
        10.2532                  0.5581             327.9           8890.2383     9966.2976    -1076.0593
        10.3800                  0.5650             321.6           8263.4728     9824.9256    -1561.4528
        10.5067                  0.5719             307.8           8230.8591     9515.1924    -1284.3333
        10.6333                  0.5788             326.9           8829.4824     9944.0208    -1114.5384
        10.7600                  0.5857             317.8           8194.6381     9740.5308    -1545.8927
        10.8869                  0.5926             319.3           8687.6567     9774.8028    -1087.1461
        11.0000                  0.5988             315.5           8449.8041     9689.1228    -1239.3187
        11.1268                  0.6057             306.6           8291.2705     9487.7748    -1196.5043
        11.2533                  0.6126             316.6           8400.1207     9713.1132    -1312.9925
        11.3800                  0.6195             309.2           8340.4618     9547.3224    -1206.8606
        11.5068                  0.6264             328.3           8824.4857     9976.1508    -1151.6651
        11.6335                  0.6332             330.9           8995.5172    10033.5564    -1038.0392
        11.7600                  0.6401             322.9           8342.8585     9854.0568    -1511.1983
        11.8865                  0.6470             328.0           8560.5376     9969.7248    -1409.1872
        12.0000                  0.6532             315.0           8551.7251     9677.9844    -1126.2593
        12.1268                  0.6601             330.2           9019.9187    10018.9908     -999.0721
        12.2536                  0.6670             313.2           8209.6597     9637.2864    -1427.6267
        12.3803                  0.6739             314.8           8327.3023     9673.2720    -1345.9697
        12.5068                  0.6808             315.6           8337.1040     9691.6932    -1354.5892
        12.6334                  0.6877             328.2           8909.6854     9974.8656    -1065.1802
        12.7600                  0.6946             317.5           8158.3452     9732.8196    -1574.4744
        12.8867                  0.7015             317.7           8357.1541     9738.3888    -1381.2347
        13.0000                  0.7077             318.6           8428.1796     9758.9520    -1330.7724
        13.1265                  0.7145             316.1           8689.3202     9701.1180    -1011.7978
