     collisions(billions)   time(microsecond)   temperature(K)   Etotal(kJ/mol)   KE(kJ/mol)   PE(kJ/mol)
===============================================================================================================
         0.0000                  0.0000             400.5           7879.1028     8186.2704     -307.1676
         0.0889                  0.0043             312.4           5750.0266     6789.7872    -1039.7606
         0.1779                  0.0085             322.2           5719.0310     6945.5232    -1226.4922
         0.2669                  0.0128             317.0           5624.9297     6862.9680    -1238.0383
         0.3558                  0.0170             313.7           5692.6130     6809.7456    -1117.1326
         0.4449                  0.0213             326.0           6135.6091     7005.0960     -869.4869
         0.5337                  0.0255             316.2           5818.6316     6849.3600    -1030.7284
         0.6226                  0.0298             305.0           5570.1027     6672.7584    -1102.6557
         0.7115                  0.0340             317.3           5876.5352     6868.1088     -991.5736
         0.8005                  0.0383             308.0           5443.5519     6719.3280    -1275.7761
         0.8895                  0.0426             320.5           5854.3703     6918.9120    -1064.5417
         0.9784                  0.0468             331.6           5632.3136     7094.0016    -1461.6880
         1.0000                  0.0478             319.6           5463.5659     6903.7920    -1440.2261
         1.0891                  0.0549             313.0           5490.3659     6798.5568    -1308.1909
         1.1782                  0.0594             324.9           5698.6398     6988.4640    -1289.8242
         1.2672                  0.0639             322.3           5589.6002     6947.0352    -1357.4350
         1.3563                  0.0684             306.3           5281.3603     6693.0192    -1411.6589
         1.4453                  0.0729             308.2           5549.4154     6722.9568    -1173.5414
         1.5341                  0.0773             329.5           5999.6389     7061.6448    -1062.0059
         1.6232                  0.0818             308.8           5673.7138     6733.2384    -1059.5246
         1.7123                  0.0863             329.3           5861.7244     7057.1088    -1195.3844
         1.8014                  0.0908             323.0           5710.5269     6957.9216    -1247.3947
         1.8903                  0.0953             324.4           6000.8276     6980.6016     -979.7740
         1.9795                  0.0998             331.8           6082.2925     7096.7232    -1014.4307
         2.0000                  0.1008             316.3           5909.9811     6851.4768     -941.4957
         2.0890                  0.1117             310.6           5741.6028     6761.0592    -1019.4564
         2.1780                  0.1164             321.0           5853.8976     6926.1696    -1072.2720
         2.2669                  0.1212             313.9           5618.4096     6814.2816    -1195.8720
         2.3561                  0.1260             322.3           5601.1263     6946.7328    -1345.6065
         2.4452                  0.1307             319.2           5664.5646     6897.4416    -1232.8770
         2.5342                  0.1355             318.7           5896.9666     6889.5792     -992.6126
         2.6234                  0.1402             325.5           5883.1035     6996.9312    -1113.8277
         2.7126                  0.1450             319.0           5560.5755     6894.1152    -1333.5397
         2.8017                  0.1498             329.5           5612.7352     7061.3424    -1448.6072
         2.8906                  0.1545             315.7           5394.1861     6841.4976    -1447.3115
         2.9797                  0.1593             315.4           5921.0146     6836.9616     -915.9470
         3.0000                  0.1604             320.8           5773.0146     6922.2384    -1149.2238
         3.0890                  0.1765             316.6           5783.7096     6855.7104    -1072.0008
         3.1781                  0.1816             324.5           5884.4839     6982.4160    -1097.9321
         3.2672                  0.1867             317.2           5580.4157     6866.5968    -1286.1811
         3.3561                  0.1918             301.4           5450.0643     6615.0000    -1164.9357
         3.4449                  0.1969             313.6           5664.4321     6808.8384    -1144.4063
         3.5339                  0.2019             320.8           5920.7836     6923.7504    -1002.9668
         3.6229                  0.2070             314.2           5752.7528     6817.9104    -1065.1576
         3.7117                  0.2121             322.8           5796.5796     6954.2928    -1157.7132
         3.8007                  0.2172             314.6           5580.3511     6824.8656    -1244.5145
         3.8897                  0.2223             317.5           5628.6966     6870.5280    -1241.8314
         3.9786                  0.2274             324.9           5873.1174     6988.1616    -1115.0442
         4.0000                  0.2286             310.3           5645.2755     6757.1280    -1111.8525
         4.0887                  0.2524             324.8           6211.9563     6986.0448     -774.0885
