     collisions(billions)   time(microsecond)   total hb    interpeptide hb   hb_alpha
  ========================================================================================
         0.0000                  0.0000              0              0              0
         0.1000                  0.0049              1              0              1
         0.2000                  0.0103              0              0              0
         0.3000                  0.0163              1              0              1
         0.4000                  0.0232              2              0              1
         0.5000                  0.0314              1              0              0
         0.6005                  0.0390              5              0              1
         0.6500                  0.0422              8              0              3
         0.7481                  0.0504             12              0              6
         0.8000                  0.0539              2              0              0
         0.8952                  0.0628              8              0              2
         0.9903                  0.0694              9              1              7
         1.0000                  0.0701             17              2              7
         1.0923                  0.0800             28              9              9
         1.1846                  0.0867             14              1              6
         1.2500                  0.0915             15              4              4
         1.3388                  0.1041             60             10             19
         1.4277                  0.1110             55             18             19
         1.5166                  0.1179             70             29             14
         1.6054                  0.1248             80             35             16
         1.6945                  0.1316             86             45             13
         1.7836                  0.1385             62             28             11
         1.8723                  0.1454             58             32              8
         1.9612                  0.1522             60             27             13
         2.0501                  0.1591             78             30             12
         2.1389                  0.1660             72             22             20
         2.2278                  0.1729             80             22             13
         2.2500                  0.1746             90             31             16
         2.3388                  0.1814             81             33             24
         2.4279                  0.1883             76             40             21
         2.5170                  0.1952             63             39              6
         2.6061                  0.2021             62             23              8
         2.6949                  0.2089             51             12             16
         2.7837                  0.2158             73             20             20
         2.8725                  0.2227             71             13             32
         2.9613                  0.2296             59             19             24
         3.0500                  0.2364             59             16             14
         3.1390                  0.2433             82             27             25
         3.2277                  0.2502             86             40             23
         3.2500                  0.2519             55             26             12
         3.3388                  0.2588             54             23             14
         3.4275                  0.2656             89             40             21
         3.5163                  0.2725             71             29             12
         3.6051                  0.2794             63             27             12
         3.6939                  0.2863             74             33              9
         3.7829                  0.2931             66             37              6
         3.8718                  0.3000             86             45             11
         3.9610                  0.3069             78             41             20
         4.0499                  0.3137             85             39             13
         4.1389                  0.3206             69             32             10
         4.2280                  0.3275             80             31             14
         4.2500                  0.3292             85             28             26
         4.3390                  0.3361             62             34             13
         4.4280                  0.3429             89             42             15
         4.5170                  0.3498             77             37             25
         4.6063                  0.3567             73             34             15
         4.6955                  0.3636             74             39             20
         4.7842                  0.3704             69             33             17
         4.8732                  0.3773             69             21             31
         4.9620                  0.3842             47             21             15
         5.0510                  0.3910             57             26             12
         5.1398                  0.3979             58             24             15
         5.2287                  0.4048             76             25             23
         5.2500                  0.4064             81             30             17
         5.3389                  0.4133             72             42             10
         5.4281                  0.4202             54             39              6
         5.5170                  0.4270             80             45             11
         5.6060                  0.4339             88             48             17
         5.6951                  0.4408             73             32             19
         5.7840                  0.4477             70             32             17
         5.8731                  0.4545             61             34             12
         5.9618                  0.4614             64             36             11
         6.0508                  0.4683             70             33             23
         6.1398                  0.4752             55             17             15
         6.2287                  0.4820             62             23             18
         6.2500                  0.4837             61             23             13
         6.3390                  0.4905             81             12             33
         6.4280                  0.4974             83             31             24
         6.5167                  0.5043             58             20             15
         6.6056                  0.5112             61             29             11
         6.6945                  0.5180             87             46             18
         6.7833                  0.5249             90             30             21
         6.8724                  0.5318             72             24             14
         6.9615                  0.5386             86             35             16
         7.0504                  0.5455             80             32             15
         7.1396                  0.5524            102             50             25
         7.2288                  0.5593             77             39             31
         7.2500                  0.5609             81             32             28
         7.3392                  0.5678             95             38             27
         7.4284                  0.5746             78             32             24
         7.5173                  0.5815             70             29              6
         7.6062                  0.5884             78             34             12
         7.6951                  0.5953             73             23             21
         7.7840                  0.6021             84             20             30
         7.8730                  0.6090             74             26             22
         7.9618                  0.6159             90             29             29
         8.0510                  0.6228             97             34             24
         8.1396                  0.6296             65             20             18
         8.2285                  0.6365             72             29             15
         8.2500                  0.6382             75             31              5
         8.3391                  0.6450             66             18             16
         8.4278                  0.6519             48             18             12
         8.5167                  0.6588             65             20             28
         8.6057                  0.6657             85             29             20
         8.6948                  0.6725             74             34             14
         8.7838                  0.6794             94             51             15
         8.8729                  0.6863            106             52             21
         8.9620                  0.6931             93             58             17
         9.0510                  0.7000             87             60             14
         9.1399                  0.7069            101             67             22
         9.2289                  0.7138             75             46              6
         9.2500                  0.7154             73             39              9
         9.3391                  0.7223            104             52             32
         9.4282                  0.7291             60             37              8
         9.5169                  0.7360             82             46             13
         9.6059                  0.7429             76             35             24
         9.6950                  0.7497             58             25             15
         9.7838                  0.7566             83             34             23
         9.8727                  0.7635             91             36             34
         9.9615                  0.7704             96             52             18
        10.0504                  0.7772             86             36             22
        10.1394                  0.7841             72             31             12
        10.2284                  0.7910             93             49             22
        10.2500                  0.7927             83             52             17
        10.3387                  0.7995             80             50             12
        10.4276                  0.8064             60             34             14
        10.5166                  0.8133             61             20             19
        10.6055                  0.8201             65             29             10
        10.6941                  0.8270             49             13             10
        10.7831                  0.8339             63             18             20
        10.8720                  0.8408             59             17             18
        10.9607                  0.8476             71             27             12
        11.0497                  0.8545             49             28              2
        11.1385                  0.8614             72             22             14
        11.2272                  0.8682             71             21             16
        11.2500                  0.8700             74             28             16
        11.3387                  0.8769             60             25             13
        11.4276                  0.8838             60             13             25
        11.5164                  0.8906             64             13             17
        11.6053                  0.8975             59             10             21
        11.6942                  0.9044             67             12             25
        11.7831                  0.9112             41             11              8
        11.8722                  0.9181             55             23             18
        11.9609                  0.9250             64             25             19
        12.0495                  0.9319             67             29             12
        12.1385                  0.9387             89             35              6
        12.2276                  0.9456             86             35             11
        12.2500                  0.9473             99             41             23
        12.3391                  0.9542             93             45             18
        12.4279                  0.9611             66             34             12
        12.5167                  0.9679             74             41              6
        12.6058                  0.9748             88             40             18
        12.6948                  0.9817             88             40             19
        12.7838                  0.9886             74             30             12
        12.8726                  0.9954             93             41             18
        12.9614                  1.0023             85             34             16
        13.0501                  1.0092             82             40             14
        13.1390                  1.0161             87             35             26
        13.2278                  1.0229             83             41             20
        13.2500                  1.0246            102             57             14
        13.3387                  1.0315             95             49             20
        13.4279                  1.0384             94             54             16
        13.5169                  1.0453             88             57             13
        13.6060                  1.0521             74             34             13
        13.6949                  1.0590             76             32              9
        13.7839                  1.0659             86             39             18
        13.8729                  1.0728             59             23             13
        13.9619                  1.0796             73             27              9
        14.0509                  1.0865             69             26             17
        14.1395                  1.0934             63             26             13
        14.2284                  1.1002             72             33             19
        14.2500                  1.1019             70             31             19
        14.3389                  1.1088             57             26             15
        14.4278                  1.1157             47             13             20
        14.5167                  1.1225             60              9             20
        14.6055                  1.1294             74             19             23
        14.6946                  1.1363             58             13             20
        14.7835                  1.1432             36             14             10
        14.8723                  1.1500             56             17             16
        14.9610                  1.1569             88             25             24
        15.0502                  1.1638             70             28             15
        15.1393                  1.1706             70             33             15
        15.2285                  1.1775             80             29             22
        15.2500                  1.1792             69             26             18
        15.3388                  1.1860             68             28             18
        15.4276                  1.1929             55              9             15
        15.5162                  1.1998             52             16             14
        15.6050                  1.2067             62             22             18
        15.6939                  1.2135             71             24             20
        15.7826                  1.2204             79             33             23
        15.8716                  1.2273             77             33             15
        15.9606                  1.2341             88             44             27
        16.0495                  1.2410             93             44             16
        16.1383                  1.2479             88             50              7
        16.2273                  1.2548             80             31             19
        16.2500                  1.2565             64             27             16
        16.3388                  1.2634            101             39             37
        16.4278                  1.2703             93             35             24
        16.5165                  1.2771             72             22             21
        16.6053                  1.2840             55             14             20
        16.6943                  1.2909             60              8             16
        16.7833                  1.2978            110             36             44
        16.8724                  1.3046             74             21             24
        16.9614                  1.3115             72             22             11
        17.0501                  1.3184             89             28             22
        17.1389                  1.3252             94             33             13
        17.2277                  1.3321             62              9             21
        17.2500                  1.3338             43             24              7
        17.3388                  1.3407             75             16             32
        17.4276                  1.3476             63             23             11
        17.5164                  1.3544             64             28             16
        17.6053                  1.3613             69             21             15
        17.6943                  1.3682             81             25             13
        17.7833                  1.3751            104             49             16
        17.8722                  1.3819            105             61             22
        17.9613                  1.3888             99             64             16
        18.0503                  1.3957             87             54             14
        18.1393                  1.4026             78             36             21
        18.2282                  1.4094             82             49             10
        18.2500                  1.4111             92             51             19
        18.3390                  1.4180             71             34             17
        18.4279                  1.4249             77             34             26
        18.5171                  1.4317             72             39             14
        18.6063                  1.4386             77             27             20
        18.6954                  1.4455             91             45             19
        18.7846                  1.4523             80             40             12
        18.8737                  1.4592             68             31             13
        18.9627                  1.4661             71             25             13
        19.0518                  1.4730             74             41             16
        19.1408                  1.4798             89             34             22
