     collisions(billions)   time(microsecond)   total hb    interpeptide hb   hb_alpha
  ========================================================================================
         0.0000                  0.0000              0              0              0
         0.1000                  0.0049              1              0              1
         0.2000                  0.0103              2              0              1
         0.3000                  0.0163              1              0              1
         0.4000                  0.0232              1              0              1
         0.5000                  0.0314              6              0              2
         0.6005                  0.0390              6              0              5
         0.6500                  0.0422              2              0              2
         0.7480                  0.0504              7              0              5
         0.8000                  0.0539              4              1              1
         0.8951                  0.0628             15              1              6
         0.9904                  0.0695             10              0              6
         1.0000                  0.0701             18              0              7
         1.0923                  0.0800             22              4              7
         1.1848                  0.0867             23              5              8
         1.2500                  0.0915             17              2              1
         1.3388                  0.1041             44              8              9
         1.4275                  0.1110             57             16             28
         1.5164                  0.1179             54             21             11
         1.6053                  0.1247             76             24             26
         1.6942                  0.1316             72             17             16
         1.7830                  0.1385             66             20             19
         1.8720                  0.1454             57             21             12
         1.9609                  0.1522             59             21             10
         2.0498                  0.1591             58             30             14
         2.1386                  0.1660             68             35             13
         2.2275                  0.1728             67             29             12
         2.2500                  0.1746             68             34             11
         2.3390                  0.1815             63             20             18
         2.4281                  0.1883             80             36             14
         2.5171                  0.1952             61             26              7
         2.6062                  0.2021             70             37             11
         2.6949                  0.2089             78             45             14
         2.7840                  0.2158             96             50             18
         2.8730                  0.2227             72             46              9
         2.9619                  0.2296             80             49             13
         3.0507                  0.2364             68             39             17
         3.1396                  0.2433             62             27              9
         3.2285                  0.2502             77             23             30
         3.2500                  0.2518             63             26             14
         3.3387                  0.2587             64             31             13
         3.4278                  0.2656             77             25             31
         3.5168                  0.2725             78             24              7
         3.6059                  0.2793             64             24             21
         3.6947                  0.2862             70             20             11
         3.7837                  0.2931             64             30             12
         3.8726                  0.2999             49             17             12
         3.9615                  0.3068             57             19              9
         4.0503                  0.3137             70             30             10
         4.1394                  0.3206             86             31             15
         4.2282                  0.3274             72             23             14
         4.2500                  0.3291             69             20             18
         4.3391                  0.3360             77             21             24
         4.4281                  0.3429             53             15             21
         4.5171                  0.3497             47             12             15
         4.6057                  0.3566             58             22             11
         4.6945                  0.3635             60             28             13
         4.7835                  0.3703             85             22             32
         4.8726                  0.3772             85             32             33
         4.9617                  0.3841             59             14             22
         5.0506                  0.3910             63             20             10
         5.1394                  0.3978             77             13             29
         5.2283                  0.4047             52             11             20
         5.2500                  0.4064             55             21             18
         5.3390                  0.4133             46             11             13
         5.4278                  0.4201             59             10             16
         5.5166                  0.4270             51              9             24
         5.6053                  0.4339             61             15             18
         5.6945                  0.4407             52             12             12
         5.7833                  0.4476             49              9             12
         5.8722                  0.4545             56             12             24
         5.9611                  0.4614             67             33             13
         6.0498                  0.4682             58             21             20
         6.1388                  0.4751             53             17             19
         6.2276                  0.4820             51             14             18
         6.2500                  0.4837             66             34             15
         6.3390                  0.4906             54             19             17
         6.4278                  0.4974             52             13             15
         6.5165                  0.5043             81             26             27
         6.6054                  0.5112             60             26             18
         6.6944                  0.5181             89             41              9
         6.7832                  0.5249             79             24             23
         6.8720                  0.5318             80             24             21
         6.9609                  0.5387             85             28             27
         7.0497                  0.5456             79             24             23
         7.1385                  0.5524             57             15             14
         7.2274                  0.5593             64             13             28
         7.2500                  0.5610             74              6             35
         7.3389                  0.5679             62             21             12
         7.4278                  0.5748             73             32             27
         7.5168                  0.5817             56             23             14
         7.6055                  0.5885             61             31             14
         7.6942                  0.5954             75             28             19
         7.7831                  0.6023             90             35             26
         7.8721                  0.6092             92             36             20
         7.9611                  0.6160             61             27             12
         8.0500                  0.6229             56             22              9
         8.1390                  0.6298             87             41             13
         8.2279                  0.6366             74             33             22
         8.2500                  0.6383             78             31             21
         8.3393                  0.6452             89             39             19
         8.4281                  0.6521             72             28             15
         8.5171                  0.6590             77             40             21
         8.6063                  0.6658             90             28             25
         8.6954                  0.6727             78             29             20
         8.7844                  0.6796             80             26             26
         8.8734                  0.6865             64             25             14
         8.9624                  0.6933             75             25             24
         9.0513                  0.7002             52             24              8
         9.1401                  0.7071             62             15             18
         9.2290                  0.7139             82             40             17
         9.2500                  0.7156             95             47             20
         9.3389                  0.7224             64             34             10
         9.4279                  0.7293             95             51             10
         9.5167                  0.7362             72             38              9
         9.6054                  0.7431             72             40             11
         9.6944                  0.7499             78             26             10
         9.7833                  0.7568             78             34             12
         9.8723                  0.7637             71             24             15
         9.9612                  0.7705             81             34             13
        10.0502                  0.7774             74             32             17
        10.1391                  0.7843             59             23             25
        10.2279                  0.7912             85             25             25
        10.2500                  0.7929             72             22             14
        10.3389                  0.7997             56             24              5
        10.4278                  0.8066             58             26             16
        10.5167                  0.8135             80             33             22
        10.6056                  0.8203             74             32             12
        10.6943                  0.8272             93             49             20
        10.7834                  0.8341             85             44             18
        10.8724                  0.8410            102             53             23
        10.9615                  0.8478             96             51             24
        11.0503                  0.8547             86             53             13
        11.1396                  0.8616             99             59             23
        11.2283                  0.8685            111             53             29
        11.2500                  0.8701             87             44             20
        11.3391                  0.8770             89             42             16
        11.4279                  0.8839             96             38             25
        11.5169                  0.8907             64             30              6
        11.6057                  0.8976             87             39             21
        11.6946                  0.9045             86             41             23
        11.7838                  0.9114             64             38             11
        11.8725                  0.9182             58             33             10
        11.9613                  0.9251             66             20             10
        12.0503                  0.9320             66             14             19
        12.1390                  0.9389             68             21             17
        12.2278                  0.9457             83             33             28
        12.2500                  0.9474             87             42             16
        12.3389                  0.9543             98             46             10
        12.4277                  0.9612             77             27             14
        12.5165                  0.9681             83             27             29
        12.6053                  0.9749             68             26              9
        12.6941                  0.9818             62             18             16
        12.7829                  0.9887             63             14             21
        12.8718                  0.9955             69             25             20
        12.9607                  1.0024             84             21             25
        13.0495                  1.0093             60             12             19
        13.1382                  1.0162             44             12             18
        13.2268                  1.0230             57             15             23
        13.2500                  1.0248             50              8             27
        13.3387                  1.0317             48              2             16
        13.4276                  1.0386             69             29             18
        13.5163                  1.0454             74             15             22
        13.6053                  1.0523             79             39             15
        13.6942                  1.0592             69             32             12
        13.7830                  1.0661             54             21             14
        13.8718                  1.0729             94             22             27
        13.9608                  1.0798             91             39             19
        14.0501                  1.0867             76             47              9
        14.1392                  1.0935             82             35             15
        14.2281                  1.1004             77             29             29
        14.2500                  1.1021             76             37             29
        14.3390                  1.1090             80             25             33
        14.4279                  1.1159             75             40              9
        14.5168                  1.1227             68             42             12
        14.6055                  1.1296             79             36             27
        14.6947                  1.1365             70             32             12
        14.7838                  1.1433             88             36             12
        14.8730                  1.1502             79             28             19
        14.9620                  1.1571             77             35             16
        15.0509                  1.1640             63             21             16
        15.1398                  1.1708             84             30             16
        15.2287                  1.1777             72             32             24
        15.2500                  1.1793             63             23             20
        15.3391                  1.1862             70             26             15
        15.4281                  1.1931             79             24             31
        15.5170                  1.2000             72             40             13
        15.6059                  1.2068             63             15             25
        15.6949                  1.2137             68             18             18
        15.7839                  1.2206             87             33             15
        15.8727                  1.2275             53             23             10
        15.9617                  1.2343             94             38             14
        16.0507                  1.2412             73             33             15
        16.1395                  1.2481             84             19             15
        16.2284                  1.2549             83             25             18
        16.2500                  1.2566             73             31              8
        16.3386                  1.2635             71             22             25
        16.4275                  1.2704             78             25             32
        16.5167                  1.2772             68             20             17
        16.6058                  1.2841             72             31             10
        16.6947                  1.2910             85             31             13
        16.7835                  1.2978             79             36             17
        16.8724                  1.3047             58             27             11
        16.9613                  1.3116             74             30             27
        17.0502                  1.3185             68             22             21
        17.1393                  1.3253             64             23             13
        17.2280                  1.3322             57             17             19
        17.2500                  1.3339             49              9             15
        17.3390                  1.3408             59             13             12
        17.4280                  1.3476             67             22             13
        17.5169                  1.3545             74             41             12
        17.6060                  1.3614             67             18             17
        17.6949                  1.3683             81             28             23
        17.7838                  1.3751             69             26             23
        17.8727                  1.3820             61             31              8
        17.9614                  1.3889             74             38             19
        18.0504                  1.3957             79             46             19
        18.1396                  1.4026             99             58             26
        18.2286                  1.4095             96             48             30
        18.2500                  1.4111             87             43             20
        18.3391                  1.4180             82             48             12
        18.4281                  1.4249             90             39             28
        18.5170                  1.4318             86             38             20
        18.6059                  1.4386             80             38             16
        18.6947                  1.4455             79             26             19
        18.7835                  1.4524             76             44             14
        18.8725                  1.4592             69             39             17
        18.9614                  1.4661             77             45             12
        19.0504                  1.4730             82             42              7
        19.1394                  1.4799            101             39             23
