     collisions(billions)   time(microsecond)   total hb    interpeptide hb   hb_alpha
  ========================================================================================
         0.0000                  0.0000              0              0              0
         0.1000                  0.0049              1              0              0
         0.2000                  0.0102              1              0              0
         0.3000                  0.0163              0              0              0
         0.4000                  0.0232              3              0              2
         0.5000                  0.0314              3              0              2
         0.6004                  0.0390              3              0              1
         0.6500                  0.0422              2              0              0
         0.7479                  0.0504              9              2              3
         0.8000                  0.0539             15              1              7
         0.8952                  0.0628              9              5              2
         0.9902                  0.0694             15              1              2
         1.0000                  0.0701             14              2              3
         1.0923                  0.0800             21              4              8
         1.1845                  0.0867             16              5              6
         1.2500                  0.0915             24              5              8
         1.3386                  0.1041             42             11              7
         1.4275                  0.1110             66             17             24
         1.5164                  0.1179             75             19             24
         1.6054                  0.1247             53             12              9
         1.6942                  0.1316             63             21             20
         1.7831                  0.1385             76             26             27
         1.8718                  0.1454             64             23             13
         1.9607                  0.1522             69             32             21
         2.0497                  0.1591             77             32             19
         2.1384                  0.1660             83             46             17
         2.2272                  0.1729             99             48             18
         2.2500                  0.1746            102             57             20
         2.3388                  0.1815             90             48             19
         2.4278                  0.1884             71             41              7
         2.5168                  0.1952             91             44             15
         2.6058                  0.2021             79             38             15
         2.6945                  0.2090             86             36             17
         2.7833                  0.2159             71             36             10
         2.8725                  0.2227             75             37             12
         2.9614                  0.2296             81             46             20
         3.0502                  0.2365             90             39             31
         3.1393                  0.2433             86             43             20
         3.2283                  0.2502             91             50             25
         3.2500                  0.2519             75             50              4
         3.3390                  0.2588            108             86              8
         3.4281                  0.2656             95             67             17
         3.5172                  0.2725             98             66              9
         3.6062                  0.2794             82             45              9
         3.6953                  0.2863             91             48             22
         3.7843                  0.2931             97             51             17
         3.8733                  0.3000             91             47             13
         3.9624                  0.3069            100             73              8
         4.0514                  0.3137            115             69             29
         4.1405                  0.3206            111             83              7
         4.2296                  0.3275            125             74             24
         4.2500                  0.3291            110             68             25
         4.3390                  0.3359             87             56             14
         4.4278                  0.3428             98             54             29
         4.5170                  0.3497            103             60             18
         4.6056                  0.3566             85             45             16
         4.6946                  0.3634             81             40              9
         4.7834                  0.3703             87             44             22
         4.8724                  0.3772             85             45             16
         4.9615                  0.3840             90             50             16
         5.0505                  0.3909            108             69             13
         5.1397                  0.3978            109             66             20
         5.2287                  0.4047            119             89             12
         5.2500                  0.4063            122             78             18
         5.3389                  0.4132            139             96              7
         5.4280                  0.4200            142            106             12
         5.5170                  0.4269            114             89             11
         5.6059                  0.4338            132             91             21
         5.6948                  0.4407            133            109              8
         5.7837                  0.4475            130             97             14
         5.8727                  0.4544            143             91             20
         5.9615                  0.4613            108             78             14
         6.0508                  0.4682            105             83              9
         6.1398                  0.4750            118             90             13
         6.2289                  0.4819            121             83             18
         6.2500                  0.4835            133             85             29
         6.3390                  0.4904            116             77             17
         6.4278                  0.4973            113             64             24
         6.5168                  0.5041            101             51             22
         6.6058                  0.5110            101             51             27
         6.6946                  0.5179             84             55             18
         6.7835                  0.5248             79             50             14
         6.8727                  0.5316             90             63             12
         6.9617                  0.5385             88             46             15
         7.0508                  0.5454             84             38             28
         7.1399                  0.5522             82             45             14
         7.2288                  0.5591             81             33             15
         7.2500                  0.5608             77             31              6
         7.3389                  0.5676             56             30              6
         7.4277                  0.5745             68             31              8
         7.5167                  0.5814             92             45             17
         7.6056                  0.5882             71             32             22
         7.6946                  0.5951             66             36             13
         7.7838                  0.6020             81             34             14
         7.8726                  0.6089             80             37             28
         7.9618                  0.6157             75             28             29
         8.0509                  0.6226             59             25             15
         8.1399                  0.6295             85             34             17
         8.2290                  0.6364             77             33             15
         8.2500                  0.6380             85             38             14
         8.3389                  0.6449             86             47             15
         8.4278                  0.6517             94             37             17
         8.5166                  0.6586             99             42             18
         8.6056                  0.6655             92             47              8
         8.6944                  0.6723             90             37             19
         8.7835                  0.6792             72             30             10
         8.8725                  0.6861             89             31             19
         8.9616                  0.6930             84             41             10
         9.0506                  0.6998             70             35             12
         9.1395                  0.7067             62             26             15
         9.2283                  0.7136             86             41             11
         9.2500                  0.7152             64             31             12
         9.3389                  0.7221             90             47             16
         9.4279                  0.7290             86             54             10
         9.5170                  0.7359             84             38             23
         9.6060                  0.7427             75             32             23
         9.6952                  0.7496             63             28             10
         9.7840                  0.7565             86             43             11
         9.8728                  0.7634             84             37              9
         9.9618                  0.7702             91             38             27
        10.0510                  0.7771             77             29             23
        10.1398                  0.7840             68             33             13
        10.2287                  0.7908             81             41             19
        10.2500                  0.7925             92             50             21
        10.3390                  0.7994             59             31              6
        10.4280                  0.8062             94             59             26
        10.5170                  0.8131             95             55             19
        10.6061                  0.8200             88             38             15
        10.6951                  0.8268             94             49             20
        10.7840                  0.8337            101             65             13
        10.8730                  0.8406             75             43             11
        10.9621                  0.8475            112             66             20
        11.0512                  0.8543            102             67             13
        11.1406                  0.8612            108             54             29
        11.2295                  0.8681             90             51             18
        11.2500                  0.8697             88             46             16
        11.3390                  0.8765             73             45              7
        11.4279                  0.8834            120             51             31
        11.5170                  0.8903             96             38             29
        11.6062                  0.8972            110             49             22
        11.6951                  0.9040            108             65             14
        11.7841                  0.9109            103             57             15
        11.8729                  0.9178            102             54             13
        11.9620                  0.9246             93             52             15
        12.0510                  0.9315            114             59             14
        12.1400                  0.9384             90             54              6
        12.2290                  0.9453             99             53             19
        12.2500                  0.9469            107             72             13
        12.3391                  0.9538            105             75              8
        12.4283                  0.9606            116             73             20
        12.5173                  0.9675            104             68             16
        12.6063                  0.9744            107             82              9
        12.6954                  0.9812             97             65             14
        12.7844                  0.9881            110             59             11
        12.8735                  0.9950            108             58             21
        12.9626                  1.0019            105             71              9
        13.0516                  1.0087             96             64             10
        13.1406                  1.0156             92             44             26
        13.2297                  1.0225             79             51             16
        13.2500                  1.0240             88             50             11
        13.3389                  1.0309             82             43             16
        13.4279                  1.0378            104             55             15
        13.5170                  1.0447             83             39             14
        13.6061                  1.0515             73             40             11
        13.6952                  1.0584             94             62             15
        13.7841                  1.0653             96             45             19
        13.8733                  1.0721             83             43             22
        13.9624                  1.0790             77             51             19
        14.0515                  1.0859            100             57             22
        14.1406                  1.0928             91             47             21
        14.2296                  1.0996             74             44             12
        14.2500                  1.1012             88             53             15
        14.3387                  1.1081             76             57              8
        14.4276                  1.1150            108             73             18
        14.5166                  1.1218            114             65             21
        14.6055                  1.1287             94             65             10
        14.6946                  1.1356            103             60             29
        14.7838                  1.1424            100             56             19
        14.8727                  1.1493             87             62              9
        14.9618                  1.1562             97             64             15
        15.0506                  1.1631             97             65             12
        15.1398                  1.1699            101             60             21
        15.2288                  1.1768            101             73             15
        15.2500                  1.1784            106             76             10
        15.3391                  1.1853             82             46             21
        15.4281                  1.1922             94             55             12
        15.5172                  1.1991            128             90             19
        15.6061                  1.2059             98             67             10
        15.6950                  1.2128            123             76             23
        15.7842                  1.2197             91             63             10
        15.8729                  1.2266             89             54             22
        15.9619                  1.2334             97             68             11
        16.0509                  1.2403             96             56             17
        16.1399                  1.2472            115             77             21
        16.2289                  1.2540            124             83             23
        16.2500                  1.2557            106             84             12
        16.3392                  1.2625            101             66             20
        16.4283                  1.2694             97             70             12
        16.5173                  1.2763            101             67             24
        16.6062                  1.2832            113             71             18
        16.6953                  1.2900            116             89             10
        16.7843                  1.2969            102             73             11
        16.8732                  1.3038            115             68             22
        16.9622                  1.3106            107             75             15
        17.0513                  1.3175             93             69             13
        17.1404                  1.3244             88             69              5
        17.2296                  1.3313            108             81             20
        17.2500                  1.3328            105             79             13
        17.3388                  1.3397            103             59             28
        17.4277                  1.3466            122             62             31
        17.5169                  1.3534            102             47             29
        17.6060                  1.3603             84             46             15
        17.6949                  1.3672             86             48             23
        17.7839                  1.3741             78             26             24
        17.8728                  1.3809             92             46             14
        17.9617                  1.3878             77             38             12
        18.0505                  1.3947             70             36             19
        18.1394                  1.4016             72             41             16
        18.2283                  1.4084             66             34             10
        18.2500                  1.4101             73             28             19
        18.3390                  1.4170             71             34              8
        18.4280                  1.4238             84             43             17
        18.5171                  1.4307             86             41             22
        18.6061                  1.4376             90             43             10
        18.6952                  1.4445             92             50             16
        18.7845                  1.4513             95             62             18
        18.8737                  1.4582             98             62             14
        18.9628                  1.4651             76             43             14
        19.0519                  1.4719             97             50             16
        19.1411                  1.4788            105             56             20
