Chain LastFrame_RMSD_Angstrom
  1       1.9222
  2       1.9143
  3       1.4491
  4       0.6753
  5       2.2172
  6       1.7405
  7       3.0175
  8       1.6228
  9       1.7769
 10       1.4469
 11       1.3544
 12       1.8543
 13       2.4524
 14       2.1262
 15       2.0096
 16       1.8086
 17       1.6211
 18       0.9262
 19       1.8273
 20       1.7203
 21       2.3945
 22       1.6592
 23       1.9210
 24       3.5307
 25       2.2553
 26       1.5258
 27       1.3467
 28       0.7812
 29       1.4862
 30       2.0057
 31       1.7720
 32       2.2260
 33       0.7558
 34       1.6771
 35       2.1333
 36       1.6873
 37       1.2468
 38       2.2383
 39       2.0865
 40       1.0888
 41       2.0614
 42       2.0810
 43       1.6168
 44       0.7677
