     collisions(billions)   time(microsecond)   temperature(K)   Etotal(kJ/mol)   KE(kJ/mol)   PE(kJ/mol)
===============================================================================================================
         0.0000                  0.0000            1028.4          10798.4040    10800.0000       -1.5960
         0.0745                  0.0061            1022.5          10719.2964    10744.0200      -24.7236
         0.1000                  0.0082            1008.2          10602.6316    10608.6600       -6.0284
         0.1716                  0.0143             938.1           9913.9411     9947.5200      -33.5789
         0.2000                  0.0168             907.3           9631.7923     9656.8200      -25.0277
         0.2683                  0.0230             792.8           8564.8769     8576.2800      -11.4031
         0.3000                  0.0259             803.6           8661.5577     8678.1600      -16.6023
         0.3649                  0.0323             673.4           7432.6228     7448.7600      -16.1372
         0.4000                  0.0357             696.6           7616.5724     7667.6400      -51.0676
         0.4611                  0.0422             569.0           6432.5400     6463.4400      -30.9000
         0.5000                  0.0463             558.8           6345.5040     6367.5000      -21.9960
         0.5597                  0.0528             526.2           6028.6398     6059.3400      -30.7002
         0.6195                  0.0594             529.0           6059.4086     6086.1600      -26.7514
         0.6500                  0.0627             513.9           5878.6747     5943.6000      -64.9253
         0.7082                  0.0693             489.2           5649.2995     5710.6800      -61.3805
         0.7664                  0.0759             476.4           5481.4828     5589.3600     -107.8772
         0.8000                  0.0797             467.7           5453.3924     5507.1000      -53.7076
         0.8565                  0.0864             462.4           5363.2094     5456.8800      -93.6706
         0.9130                  0.0930             455.4           5289.0142     5391.5400     -102.5258
         0.9696                  0.0997             447.5           5251.0954     5317.0200      -65.9246
         1.0000                  0.1033             419.9           4971.1010     5055.8400      -84.7390
         1.0548                  0.1100             393.8           4607.9834     4809.4200     -201.4366
         1.1096                  0.1168             388.7           4605.4526     4761.9000     -156.4474
         1.1645                  0.1235             378.3           4407.5420     4663.6200     -256.0780
         1.2193                  0.1303             392.9           4613.7580     4801.5000     -187.7420
         1.2500                  0.1341             378.3           4605.2925     4663.6200      -58.3275
         1.3020                  0.1410             316.3           3438.5150     4078.2600     -639.7450
         1.3541                  0.1479             313.7           3415.0259     4054.1400     -639.1141
         1.4061                  0.1548             286.0           3201.7936     3792.4200     -590.6264
         1.4579                  0.1618             309.6           3386.7482     4015.0800     -628.3318
         1.5098                  0.1687             300.7           3366.9626     3931.5600     -564.5974
         1.5618                  0.1756             298.9           3258.2855     3914.4600     -656.1745
         1.6137                  0.1825             311.9           3396.3756     4037.0400     -640.6644
         1.6656                  0.1895             309.7           3347.0071     4015.8000     -668.7929
         1.7175                  0.1964             302.4           3186.6339     3947.5800     -760.9461
         1.7696                  0.2033             312.9           3060.6473     4046.5800     -985.9327
         1.8217                  0.2103             311.3           3113.0174     4031.1000     -918.0826
         1.8738                  0.2172             294.1           3153.8754     3868.9200     -715.0446
         1.9257                  0.2241             304.3           3206.2141     3965.4000     -759.1859
         1.9777                  0.2310             301.4           3123.6990     3937.8600     -814.1610
         2.0296                  0.2380             302.1           3335.9178     3944.5200     -608.6022
         2.0816                  0.2449             298.2           3289.8152     3907.2600     -617.4448
         2.1335                  0.2518             284.2           3260.6754     3775.6800     -515.0046
         2.1852                  0.2588             309.8           3244.4118     4017.0600     -772.6482
         2.2371                  0.2657             310.4           3423.6343     4022.4600     -598.8257
         2.2500                  0.2674             295.8           3181.3531     3884.7600     -703.4069
         2.3019                  0.2743             316.6           3498.7660     4080.7800     -582.0140
