     collisions(billions)   time(microsecond)   temperature(K)   Etotal(kJ/mol)   KE(kJ/mol)   PE(kJ/mol)
===============================================================================================================
         0.0000                  0.0000            1028.4          10800.0000    10800.0000        0.0000
         0.0744                  0.0061             994.7          10460.5110    10481.5800      -21.0690
         0.1000                  0.0082            1069.0          11168.3099    11182.6800      -14.3701
         0.1715                  0.0143             945.6           9980.0863    10017.7200      -37.6337
         0.2000                  0.0168             947.7          10009.4579    10037.7000      -28.2421
         0.2683                  0.0231             789.8           8518.2464     8547.3000      -29.0536
         0.3000                  0.0260             790.1           8494.3937     8550.0000      -55.6063
         0.3648                  0.0323             663.1           7308.6905     7352.1000      -43.4095
         0.4000                  0.0357             723.0           7856.5999     7916.7600      -60.1601
         0.4612                  0.0422             576.8           6504.7621     6536.7000      -31.9379
         0.5000                  0.0463             556.0           6324.4270     6340.6800      -16.2530
         0.5598                  0.0528             533.8           6046.9685     6131.7000      -84.7315
         0.6196                  0.0594             502.4           5802.9228     5835.2400      -32.3172
         0.6500                  0.0627             504.9           5794.7190     5858.6400      -63.9210
         0.7083                  0.0693             483.3           5596.6301     5654.7000      -58.0699
         0.7664                  0.0759             484.8           5613.5920     5669.1000      -55.5080
         0.8000                  0.0797             475.7           5475.0807     5583.2400     -108.1593
         0.8566                  0.0864             466.6           5424.0608     5497.2000      -73.1392
         0.9131                  0.0930             436.8           5139.9662     5215.5000      -75.5338
         0.9696                  0.0997             398.5           4780.7246     4854.2400      -73.5154
         1.0000                  0.1033             438.4           5098.8359     5230.9800     -132.1441
         1.0548                  0.1100             384.6           4542.8016     4722.6600     -179.8584
         1.1097                  0.1168             372.6           4444.9140     4609.8000     -164.8860
         1.1644                  0.1235             391.0           4461.2548     4783.1400     -321.8852
         1.2194                  0.1303             360.6           4310.1044     4496.5800     -186.4756
         1.2500                  0.1340             375.0           4470.6409     4632.4800     -161.8391
         1.3018                  0.1410             306.0           3392.1488     3981.2400     -589.0912
         1.3537                  0.1479             302.2           3227.6576     3945.4200     -717.7624
         1.4057                  0.1548             295.6           3352.9541     3883.1400     -530.1859
         1.4576                  0.1617             298.9           3338.7566     3913.9200     -575.1634
         1.5096                  0.1687             298.4           3220.6355     3909.2400     -688.6045
         1.5617                  0.1756             299.1           3177.4077     3916.4400     -739.0323
         1.6137                  0.1825             296.9           3318.3986     3894.8400     -576.4414
         1.6656                  0.1895             281.0           3154.5356     3745.4400     -590.9044
         1.7176                  0.1964             305.0           3500.1000     3971.7000     -471.6000
         1.7695                  0.2033             301.3           3500.8932     3936.4200     -435.5268
         1.8214                  0.2102             303.2           3273.7435     3954.6000     -680.8565
         1.8734                  0.2172             307.0           3282.0179     3990.6000     -708.5821
         1.9253                  0.2241             307.2           3230.9872     3992.7600     -761.7728
         1.9773                  0.2310             307.3           3198.6450     3993.8400     -795.1950
         2.0293                  0.2379             308.6           3289.3041     4006.0800     -716.7759
