Chain LastFrame_RMSD_Angstrom
  1       1.1305
  2       2.1472
  3       1.3350
  4       0.6332
  5       2.1424
  6       0.8507
  7       1.6511
  8       1.9136
  9       0.9605
 10       1.0617
 11       1.1424
 12       2.1803
 13       1.4696
 14       1.3904
 15       1.0178
 16       2.1249
 17       3.0579
 18       0.8943
 19       1.4147
 20       1.8415
 21       1.3421
 22       1.3981
 23       1.0130
 24       1.9702
 25       2.5536
 26       1.2395
 27       1.7061
 28       1.3637
 29       2.3804
 30       1.2400
 31       3.1305
 32       1.4885
 33       1.4911
 34       0.8860
 35       1.9421
 36       1.6026
 37       1.5816
 38       2.3439
 39       1.3820
 40       1.8108
 41       2.2801
 42       2.3301
 43       1.2363
 44       1.4899
 45       1.2921
 46       1.9370
 47       1.6434
 48       1.7198
